id,name,type,lat,lon,speciality,street,locality,city,state,district,postcode,phone,website,opening_hours,amenity,healthcare,address_full
,Om Sai Clinic,clinic,21.320254,72.881822,,,,,Gujarat,Surat,394130.0,,,,,,
,Shreyan Nursing Home,clinic,21.4652672,72.9532491,,,,,Gujarat,Surat,394120.0,,,,,,
,Krushi Chilf Care & Nursing Home,clinic,21.2070919,72.981627,,,,,Gujarat,Surat,394310.0,,,,,,
,Swastik Clinic,clinic,21.2492515,72.9277434,,,,,Gujarat,Surat,394185.0,,,,,,
,Kanuga Nursing Home,clinic,21.465786,72.952107,,,,,Gujarat,Surat,394120.0,,,,,,
,Sandhya Clinic,clinic,21.3731142,73.0581567,,,,,Gujarat,Surat,394110.0,,,,,,
,Shivam Clinic,clinic,21.253127,72.946962,,,,,Gujarat,Surat,394185.0,,,,,,
,"Matrutva Clinic, Kosamba",clinic,21.4626502,72.9581639,,,,,Gujarat,Surat,394120.0,,,,,,
,Shri Sai Skin Care,clinic,21.271052,72.959206,,,,,Gujarat,Surat,394185.0,,,,,,
,"Shree Hari Clinic, Kamrej",clinic,21.2668723,72.9766862,,,,,Gujarat,Surat,394180.0,,,,,,
,Hardik Clinic,clinic,21.0825765,72.9874088,,,,,Gujarat,Surat,394315.0,,,,,,
,Ram Clinic,clinic,21.3366753,72.7516652,,,,,Gujarat,Surat,394540.0,,,,,,
,Om Shree Clinic & Nursing Home,clinic,21.2697595,72.9754448,,,,,Gujarat,Surat,394180.0,,,,,,
,Dr. Motiwala Clinic,clinic,20.7945794,70.7006833,,,,,Gujarat,Gir Somnath,362720.0,,,,,,
,Sanjeevani Hospital,clinic,20.7419531,71.0727158,,,,,Gujarat,Gir Somnath,362510.0,,,,,,
,Jivandeep Clinic & Nidan Kendra,clinic,20.7814346,70.6105853,,,,,Gujarat,Gir Somnath,362276.0,,,,,,
,Dr. Chotalia's Clinic,clinic,20.8230552,71.0445804,,,,,Gujarat,Gir Somnath,362560.0,,,,,,
,Dr. Deva Bhai,doctors,20.717025,70.825526,,,,,Gujarat,Gir Somnath,362720.0,,,,,,
,Trupti Clinic,clinic,20.7935385,70.7008562,,,,,Gujarat,Gir Somnath,362720.0,,,,,,
,Shivam Clinic,clinic,20.890582,70.849077,,,,,Gujarat,Gir Somnath,362710.0,,,,,,
,Om Clinic,clinic,20.9536787,70.642183,,,,,Gujarat,Gir Somnath,362268.0,,,,,,
,Alankar Optical & Eye Clinic,clinic,20.7950228,70.700323,,,,,Gujarat,Gir Somnath,362720.0,,,,,,
,Shailaja Clinic,clinic,20.826537,71.043027,,,,,Gujarat,Gir Somnath,362560.0,,,,,,
,Sai Clinic,clinic,20.7904706,70.7032598,,,,,Gujarat,Gir Somnath,362720.0,,,,,,
,Health and Healing Clinic,clinic,20.9217005,70.6043085,,,,,Gujarat,Gir Somnath,362268.0,,,,,,
,"Krishna Clinic, Dhokadva",clinic,20.9532488,71.0711752,,,,,Gujarat,Gir Somnath,362565.0,,,,,,
,Shiv Clinic,clinic,20.8391687,70.4813991,,,,,Gujarat,Gir Somnath,362275.0,,,,,,
,Wellcare Physiotherapy Clinic,clinic,20.8397629,70.4818123,,,,,Gujarat,Gir Somnath,362275.0,,,,,,
,Dr. Subhas Clinic,clinic,20.83905,70.481374,,,,,Gujarat,Gir Somnath,362275.0,,,,,,
,Sidhee Health Care Centre,clinic,20.872666,70.55408,,,,,Gujarat,Gir Somnath,362275.0,,,,,,
,"Aayush Clinic, Dolasa",clinic,20.8218267,70.8563173,,,,,Gujarat,Gir Somnath,362720.0,,,,,,
,Dr. Jagdish,doctors,20.9536862,70.6422566,,,,,Gujarat,Gir Somnath,362268.0,,,,,,
,Bansidhar Clinic,clinic,20.902615,70.584908,,,,,Gujarat,Gir Somnath,362275.0,,,,,,
,Hussaini Sarvajanik Clinic,clinic,20.794769,70.7036449,,,,,Gujarat,Gir Somnath,362720.0,,,,,,
,Kartavya Acupressure Centre,clinic,20.8260623,71.0437379,,,,,Gujarat,Gir Somnath,362560.0,,,,,,
,Dr. M G Gajera,doctors,21.0378322,70.6645486,,,,,Gujarat,Gir Somnath,362140.0,,,,,,
,Dr. Ritesh,doctors,20.7406761,71.0743905,,,,,Gujarat,Gir Somnath,362510.0,,,,,,
,Ashirvad Clinic,clinic,20.8992988,70.6378834,,,,,Gujarat,Gir Somnath,362275.0,,,,,,
,Dr. Faldu Clinic,clinic,21.553724,70.469191,,,,,Gujarat,Junagadh,362037.0,,,,,,
,Aashirwad General Clinic,clinic,21.3411093,70.7510698,,,,,Gujarat,Junagadh,362130.0,,,,,,
,Dr. Abdul Otha,doctors,21.5283809,70.4651732,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Maxlight Laser Centre,clinic,21.523822,70.433635,,,,,Gujarat,Junagadh,362002.0,,,,,,
,Kanabar Clinic,clinic,21.543195,70.4563729,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Dr. Karan Odedra,doctors,21.5118648,70.4505706,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Aditya Clinic,clinic,21.515061,70.459111,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Dr. Joshi Clinic,clinic,21.441678,70.5999392,,,,,Gujarat,Junagadh,362110.0,,,,,,
,Ashirvad Clinic,clinic,21.5237064,70.4393773,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Shraddha Clinic,clinic,21.500639,70.425747,,,,,Gujarat,Junagadh,362015.0,,,,,,
,Dr. Gaurang Bagda,doctors,21.5129582,70.4543578,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Vedamrut Clinic,clinic,21.340483,70.7514917,,,,,Gujarat,Junagadh,362130.0,,,,,,
,Dr. Thummar Clinic,clinic,21.3992663,70.714797,,,,,Gujarat,Junagadh,362120.0,,,,,,
,Vasundhra Clinic,clinic,21.3403747,70.7498092,,,,,Gujarat,Junagadh,362130.0,,,,,,
,Dr. Vijay Bhalodiya,doctors,21.5208716,70.452825,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Gayatri Clinic,clinic,21.5401502,70.4541783,,,,,Gujarat,Junagadh,362002.0,,,,,,
,Dhanwantari Healthcare,clinic,21.554449,70.703318,,,,,Gujarat,Junagadh,362020.0,,,,,,
,Dr. M H Rabadiya's Aditya Pain Clinic,clinic,21.517442,70.459233,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Aqsa Clinic,clinic,21.539979,70.4586773,,,,,Gujarat,Junagadh,362002.0,,,,,,
,Sparsh Physiotherapy Centre,clinic,21.5027636,70.428762,,,,,Gujarat,Junagadh,362015.0,,,,,,
,Healthcare Clinic,clinic,21.542037,70.4573841,,,,,Gujarat,Junagadh,362002.0,,,,,,
,Dr. Dharmvirsingh Yadav,doctors,21.5110224,70.4517128,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Dr. Gondha Manish,doctors,21.521772,70.457249,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Shradhha Clinic,clinic,21.5086545,70.45598,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Bilkha Acupressure Specialist,clinic,21.4383,70.599949,,,,,Gujarat,Junagadh,362110.0,,,,,,
,Dr. Sangita Thesiya Gynac,doctors,21.5120171,70.4520427,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Dr. Niki P Dodiya,doctors,21.5014048,70.4286343,,,,,Gujarat,Junagadh,362015.0,,,,,,
,Dr. Rafiq Vaja,doctors,21.5280218,70.4633022,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Amardeep Clinic,clinic,21.500738,70.426123,,,,,Gujarat,Junagadh,362015.0,,,,,,
,Shyam Clinic,clinic,21.5010122,70.4254877,,,,,Gujarat,Junagadh,362015.0,,,,,,
,Sadbhavana Clinic,clinic,21.221051,72.824491,,,,,Gujarat,Surat,395004.0,,,,,,
,Dr. Anil M. Patel,doctors,21.1921775,72.8395414,,,,,Gujarat,Surat,395001.0,,,,,,
,Sadbhavna Clinic,clinic,21.2016902,72.858645,,,,,Gujarat,Surat,395010.0,,,,,,
,Shreeji Clinic,clinic,21.1434605,72.8734608,,,,,Gujarat,Surat,394210.0,,,,,,
,Sanjivani Clinic,clinic,21.208289,72.856747,,,,,Gujarat,Surat,395006.0,,,,,,
,Brahmani Clinic & Child Care,clinic,21.2280172,72.8149347,,,,,Gujarat,Surat,395004.0,,,,,,
,Arogyam Clinic,clinic,21.2207633,72.8250747,,,,,Gujarat,Surat,395004.0,,,,,,
,Astha Clinic & Skin Care,clinic,21.235919,72.826615,,,,,Gujarat,Surat,395004.0,,,,,,
,Ravi Clinic & Nursing Home,clinic,21.210422,72.84414,,,,,Gujarat,Surat,395006.0,,,,,,
,Shivam Clinic and Children Care,clinic,21.229158,72.8081953,,,,,Gujarat,Surat,395004.0,,,,,,
,Shri Harikrushna Clinic,clinic,21.231159,72.8212337,,,,,Gujarat,Surat,395004.0,,,,,,
,Bhimani Clinic,clinic,21.214602,72.853732,,,,,Gujarat,Surat,395006.0,,,,,,
,Kakadiya Clinic,clinic,21.237259,72.819416,,,,,Gujarat,Surat,395004.0,,,,,,
,Shreya Skin Clinic,clinic,21.231071,72.8218701,,,,,Gujarat,Surat,395004.0,,,,,,
,Ranjana Clinic,clinic,21.143387,72.873746,,,,,Gujarat,Surat,394210.0,,,,,,
,Mangukiya Clinic,clinic,21.228702,72.811094,,,,,Gujarat,Surat,395004.0,,,,,,
,Pramukh Skin Care,clinic,21.2287552,72.8111125,,,,,Gujarat,Surat,395004.0,,,,,,
,Baidynath Clinic,clinic,21.204943,72.852407,,,,,Gujarat,Surat,395006.0,,,,,,
,Shreeji Clinic,clinic,21.2314287,72.8212097,,,,,Gujarat,Surat,395004.0,,,,,,
,Shraddha Clinic,clinic,21.2177321,72.8289863,,,,,Gujarat,Surat,395004.0,,,,,,
,Dr. Rana Hadvaid & Physio,doctors,21.2015713,72.8590213,,,,,Gujarat,Surat,395101.0,,,,,,
,Akshar Clinic & Child and Skin Care,clinic,21.1492593,72.8723456,,,,,Gujarat,Surat,394210.0,,,,,,
,Om Clinic & Skin Care,clinic,21.2343405,72.8137501,,,,,Gujarat,Surat,395004.0,,,,,,
,Matru Shree Clinic Skin Care,clinic,21.2305375,72.8194875,,,,,Gujarat,Surat,395004.0,,,,,,
,Dr. Manoj Vaghasiya Krishna Clinic,clinic,21.2307133,72.8291699,,,,,Gujarat,Surat,395004.0,,,,,,
,Krisna Clinic & Skin Care,clinic,21.2256575,72.8054475,,,,,Gujarat,Surat,395004.0,,,,,,
,Ranjana Clinic & Child Care,clinic,21.1439288,72.8731535,,,,,Gujarat,Surat,394305.0,,,,,,
,Pavasiya Clinic,clinic,21.2330653,72.8362904,,,,,Gujarat,Surat,395004.0,,,,,,
,Dr. Shah,doctors,21.867686,73.5026356,,,,,Gujarat,Narmada,393145.0,,,,,,
,Sradha Clinic Centre,clinic,20.910146,73.334379,,,,,Gujarat,Tapi,394635.0,,,,,,
,Ganesh Clinic,clinic,21.0483193,73.2604855,,,,,Gujarat,Tapi,394640.0,,,,,,
,Yogi Ayu Clinic,clinic,21.1056265,73.3879192,,,,,Gujarat,Tapi,394650.0,,,,,,
,S B Clinic,clinic,21.241174,73.57983,,,,,Gujarat,Tapi,394680.0,,,,,,
,Arihant Clinic,clinic,21.515776,73.821912,,,,,Gujarat,Narmada,425419.0,,,,,,
,Devanshi Physio Care,clinic,21.1697135,73.5592479,,,,,Gujarat,Tapi,394670.0,,,,,,
,Balaji Clinic,clinic,21.872092,73.502871,,,,,Gujarat,Narmada,393145.0,,,,,,
,Dr. Doshi,doctors,21.170121,73.561258,,,,,Gujarat,Tapi,394670.0,,,,,,
,Divam Sonography Centre,clinic,21.8676846,73.5021089,,,,,Gujarat,Narmada,393145.0,,,,,,
,Dr. Sukhadia,doctors,21.87193,73.503073,,,,,Gujarat,Narmada,393145.0,,,,,,
,Aanganwadi Kendra,clinic,21.1636195,73.5680648,,,,,Gujarat,Tapi,394670.0,,,,,,
,Dr. Mehul's Diagnostic Centre,clinic,21.1673609,73.5653238,,,,,Gujarat,Tapi,394670.0,,,,,,
,Balaji Clinic,clinic,22.0200067,73.5189594,,,,,Gujarat,Narmada,391120.0,,,,,,
,Dhanvantary Clinic,clinic,21.5171546,73.8200077,,,,,Gujarat,Narmada,393025.0,,,,,,
,Sanjivini Clinic,clinic,21.8700984,73.5079414,,,,,Gujarat,Narmada,393145.0,,,,,,
,Dr. Nareshbhai Mehta,doctors,21.1725897,73.5618902,,,,,Gujarat,Tapi,394670.0,,,,,,
,Shiv Clinic,clinic,21.0487703,73.2593878,,,,,Gujarat,Tapi,394640.0,,,,,,
,Dr. Sachinbhai,doctors,21.290879,73.87001,,,,,Gujarat,Tapi,394375.0,,,,,,
,Dr. Dudani's Clinic,clinic,21.6351144,69.6248372,,,,,Gujarat,Porbandar,360575.0,,,,,,
,Amrut Bindu Clinic,clinic,21.6845465,69.7457608,,,,,Gujarat,Porbandar,360550.0,,,,,,
,Dr. Divyesh N. Vadukar,doctors,21.6844954,69.7437772,,,,,Gujarat,Porbandar,360550.0,,,,,,
,Dr. Hitesh Vadher,doctors,21.626915,69.637725,,,,,Gujarat,Porbandar,360576.0,,,,,,
,Mother and Child Care,clinic,21.621036,69.6442746,,,,,Gujarat,Porbandar,360576.0,,,,,,
,Gaytri Herbal Ayurvedic Clinic,clinic,21.6482264,69.6091094,,,,,Gujarat,Porbandar,360575.0,,,,,,
,Akshar Clinic,clinic,21.7949261,69.5892614,,,,,Gujarat,Porbandar,360590.0,,,,,,
,Dr. Rushi Kotak,doctors,21.6398263,69.6087221,,,,,Gujarat,Porbandar,360575.0,,,,,,
,Thakar Homoeopathic Clinic,clinic,21.6410073,69.6139183,,,,,Gujarat,Porbandar,360575.0,,,,,,
,Murlidhar Clinic,clinic,21.6256251,69.9808828,,,,,Gujarat,Porbandar,362650.0,,,,,,
,Health & Wellness Centre,clinic,21.6652374,69.9117884,,,,,Gujarat,Porbandar,360570.0,,,,,,
,Dr. Janardan Joshi Clinic,clinic,21.6383757,69.6199878,,,,,Gujarat,Porbandar,360575.0,,,,,,
,Dr. Shetul P Joshi,doctors,21.6436185,69.6207942,,,,,Gujarat,Porbandar,360575.0,,,,,,
,Sheth Clinic,clinic,21.256287,69.958106,,,,,Gujarat,Porbandar,362230.0,,,,,,
,Shreeji Clinic,clinic,21.6448706,69.6072601,,,,,Gujarat,Porbandar,360575.0,,,,,,
,Ashapura Clinic,clinic,21.6568348,69.613233,,,,,Gujarat,Porbandar,360579.0,,,,,,
,Shivam Clinic,clinic,21.2574,69.959318,,,,,Gujarat,Porbandar,362230.0,,,,,,
,Chirag Clinic,clinic,21.7663613,72.16245,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dr. Amar L Sharma,doctors,21.7698356,72.1423561,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Vivek Clinic,clinic,21.7530993,72.1645074,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dr. Nirmal Vakil,doctors,21.7655038,72.1276801,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dr. Dhirendra Muni Skin Care & Laser Cosmetic Centre,clinic,21.7699077,72.146842,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Madhav Clinic,clinic,21.7744365,72.1383923,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dr. Maulik Makwana,doctors,21.7745499,72.1383369,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Raza Clinic,clinic,21.7786586,72.1394053,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Noor Clinic,clinic,21.7782703,72.1412126,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dr. Rahul Shridharani Clinic,clinic,21.7712841,72.1457449,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dr. Jagdeep M,doctors,21.768366,72.1345254,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Samvedna Clinic,clinic,21.7722833,72.1541647,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Sanket ENT Clinic,clinic,21.769698,72.146863,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Krishna Pain Clinic,clinic,21.7670884,72.1300583,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dhanvantari Clinic,clinic,21.76333,72.156184,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Shraddha Clinic,clinic,21.754787,72.147532,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Jivan Jyot Healthcare & Polyclinic,clinic,21.7535185,72.1613773,,,,,Gujarat,Bhavnagar,364002.0,,,,,,
,Tulip Multispeciality Clinic,clinic,21.7689279,72.1451988,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dr. Arshad Ghabrani,doctors,21.7796864,72.150194,,,,,Gujarat,Bhavnagar,364003.0,,,,,,
,Shraddha Clinic,clinic,21.7718731,72.0740167,,,,,Gujarat,Bhavnagar,364004.0,,,,,,
,Radiance Skin Clinic,clinic,21.7448058,72.1458433,,,,,Gujarat,Bhavnagar,364002.0,,,,,,
,Gopal Clinic,clinic,21.7597752,72.1183956,,,,,Gujarat,Bhavnagar,364004.0,,,,,,
,Aastha Clinic,clinic,21.390853,71.759197,,,,,Gujarat,Bhavnagar,364510.0,,,,,,
,Pinakin Clinic,clinic,21.5181746,71.7650069,,,,,Gujarat,Bhavnagar,364265.0,,,,,,
,Mother Care Clinic,clinic,21.7384245,72.1422658,,,,,Gujarat,Bhavnagar,364002.0,,,,,,
,Shree Krishna Clinic & Homoeo care,clinic,21.72533,72.1568373,,,,,Gujarat,Bhavnagar,364002.0,,,,,,
,Dr. Prabhanjan. M. Dudhrejiya,doctors,21.501971,71.848813,,,,,Gujarat,Bhavnagar,364270.0,,,,,,
,Makwana Clinic,clinic,21.7561195,72.1053312,,,,,Gujarat,Bhavnagar,364004.0,,,,,,
,Dr. D.B. Ladani Clinic,clinic,21.0883182,71.7698582,,,,,Gujarat,Bhavnagar,364290.0,,,,,,
,Hanumant Clinic,clinic,21.7360861,72.1459933,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Maruti Clinic,clinic,21.6552336,71.971919,,,,,Gujarat,Bhavnagar,364260.0,,,,,,
,Dr. P.S.Bhoot,doctors,21.0905733,71.7657688,,,,,Gujarat,Bhavnagar,364290.0,,,,,,
,Jivandeep Clinic,clinic,21.3667295,71.9135516,,,,,Gujarat,Bhavnagar,364145.0,,,,,,
,Batukdada Skin Care Clinic,clinic,21.365316,71.91275,,,,,Gujarat,Bhavnagar,364145.0,,,,,,
,Bapasitaram Clinic,clinic,21.327495,71.834193,,,,,Gujarat,Bhavnagar,364145.0,,,,,,
,Shivam Clinic,clinic,22.5721738,71.8074805,,,,,Gujarat,Surendranagar,363421.0,,,,,,
,Dr. Dagli's Clinic,clinic,22.5662461,71.8105159,,,,,Gujarat,Surendranagar,363421.0,,,,,,
,Dr. Jagdish Shukla,doctors,22.5690478,71.8073485,,,,,Gujarat,Surendranagar,363421.0,,,,,,
,Shreeji Skin & Hair Clinic,clinic,22.17203,71.667916,,,,,Gujarat,Botad,364710.0,,,,,,
,Kailash Clinic,clinic,22.1615552,71.6641763,,,,,Gujarat,Botad,364710.0,,,,,,
,Param Skin & Homeopathic Clinic,clinic,22.1684686,71.6681061,,,,,Gujarat,Botad,364710.0,,,,,,
,Dr. Vanzara Clinic,clinic,22.6134174,71.2906863,,,,,Gujarat,Surendranagar,363510.0,,,,,,
,Dharmachakra Clinic,clinic,22.382661,71.9836273,,,,,Gujarat,Ahmedabad,382460.0,,,,,,
,Shree Harikrishna Clinic,clinic,22.1610167,71.6749995,,,,,Gujarat,Botad,364710.0,,,,,,
,Dr. Trivedi,doctors,22.1709047,71.6627878,,,,,Gujarat,Botad,364710.0,,,,,,
,Om Clinic,clinic,22.7696405,71.3374404,,,,,Gujarat,Surendranagar,363510.0,,,,,,
,Aagam Clinic,clinic,22.3822714,71.983956,,,,,Gujarat,Ahmedabad,382460.0,,,,,,
,Fortune Clinic,clinic,22.1727323,71.6621482,,,,,Gujarat,Botad,364710.0,,,,,,
,Dr. Jayendra Rathod,doctors,22.5645922,71.8146998,,,,,Gujarat,Surendranagar,363421.0,,,,,,
,Matruchaya Clinic,clinic,22.255115,71.56054,,,,,Gujarat,Botad,364720.0,,,,,,
,Akshar Clinic,clinic,22.170307,71.659281,,,,,Gujarat,Botad,364710.0,,,,,,
,Pramukh Clinic,clinic,22.5647546,71.8127709,,,,,Gujarat,Surendranagar,363421.0,,,,,,
,Shivam Clinic,clinic,22.161546,71.672217,,,,,Gujarat,Botad,364710.0,,,,,,
,Shree Ramdev Clinic,clinic,22.160767,71.664262,,,,,Gujarat,Botad,364710.0,,,,,,
,Mahavir Clinic,clinic,22.7367959,71.6200566,,,,,Gujarat,Surendranagar,363040.0,,,,,,
,Shishu Child Clinic,clinic,22.7295364,71.6194627,,,,,Gujarat,Surendranagar,363040.0,,,,,,
,Mahavir Clinic,clinic,22.9310399,71.6250616,,,,,Gujarat,Surendranagar,363110.0,,,,,,
,Dr. Shivlal Lakhtaria,doctors,22.737657,71.6323757,,,,,Gujarat,Surendranagar,363001.0,,,,,,
,Dr. Ganpat B Patel,doctors,22.730539,71.628641,,,,,Gujarat,Surendranagar,363002.0,,,,,,
,Dr. Vanecha Skin Clinic,clinic,22.722796,71.641841,,,,,Gujarat,Surendranagar,363002.0,,,,,,
,Akshar Clinic,clinic,22.7359604,71.6271957,,,,,Gujarat,Surendranagar,363510.0,,,,,,
,Shreeji Clinic,clinic,22.9920326,71.4659638,,,,,Gujarat,Surendranagar,363310.0,,,,,,
,Dr. Mayank Doshi,doctors,22.734582,71.638813,,,,,Gujarat,Surendranagar,363001.0,,,,,,
,Dr. Bhupendra N Ruparel,doctors,22.7282215,71.635152,,,,,Gujarat,Surendranagar,363002.0,,,,,,
,Dr. H V Doshi,doctors,22.733108,71.634133,,,,,Gujarat,Surendranagar,363002.0,,,,,,
,Rudra Clinic,clinic,22.727628,71.6586843,,,,,Gujarat,Surendranagar,363001.0,,,,,,
,Dr. Ramesh Rawal,doctors,22.9869775,71.4724648,,,,,Gujarat,Surendranagar,363310.0,,,,,,
,Dr. Girish Matalia's Clinic,clinic,22.9901849,71.470433,,,,,Gujarat,Surendranagar,363310.0,,,,,,
,Dr. Bavishi Clinic,clinic,22.7279302,71.6341047,,,,,Gujarat,Surendranagar,363002.0,,,,,,
,Bhagwath Clinic,clinic,22.991407,71.4657,,,,,Gujarat,Surendranagar,363310.0,,,,,,
,Dr. Modan Clinic,clinic,22.713011,71.676552,,,,,Gujarat,Surendranagar,363030.0,,,,,,
,Gayatri Clinic,clinic,22.7272944,71.6424877,,,,,Gujarat,Surendranagar,363002.0,,,,,,
,Life Care Clinic,clinic,23.2479973,69.6802719,,,,,Gujarat,Kutch,370001.0,,,,,,
,Shreeji Clinic,clinic,23.25729,69.661206,,,,,Gujarat,Kutch,370001.0,,,,,,
,Dr. Anil Majethia,doctors,23.2558575,69.6694368,,,,,Gujarat,Kutch,370001.0,,,,,,
,Jansari Clinic,clinic,23.2634949,69.6701635,,,,,Gujarat,Kutch,370001.0,,,,,,
,Swarup Clinic,clinic,23.242597,69.654381,,,,,Gujarat,Kutch,370001.0,,,,,,
,Zydus Wellness Clinic,clinic,23.2432754,69.6728188,,,,,Gujarat,Kutch,370001.0,,,,,,
,Dr. Salim Khatri,doctors,23.2600779,69.6708675,,,,,Gujarat,Kutch,370001.0,,,,,,
,Dr. Vasanth D Nakum,doctors,23.2456868,69.6739325,,,,,Gujarat,Kutch,370001.0,,,,,,
,Shree Sonal Clinic,clinic,23.2542904,69.6570515,,,,,Gujarat,Kutch,370001.0,,,,,,
,Shreeji Child Care,clinic,23.2547477,69.6723104,,,,,Gujarat,Kutch,370001.0,,,,,,
,Dr. Hemen Shah,doctors,23.240015,69.672327,,,,,Gujarat,Kutch,370001.0,,,,,,
,Dr. Bhargav Shah,doctors,23.241701,69.671806,,,,,Gujarat,Kutch,370001.0,,,,,,
,Dr. Ashok Hindhuja,doctors,23.2418218,69.6724247,,,,,Gujarat,Kutch,370001.0,,,,,,
,Dr. Kamal Dholakiya,doctors,23.250915,69.67023,,,,,Gujarat,Kutch,370001.0,,,,,,
,Vanya Hospital,clinic,23.2451627,69.6468874,,,,,Gujarat,Kutch,370001.0,,,,,,
,Patidar Clinic,clinic,22.839924,69.72567,,,,,Gujarat,Kutch,370421.0,,,,,,
,Dr. Dulari Shah,doctors,22.8496009,69.7339118,,,,,Gujarat,Kutch,370421.0,,,,,,
,Dr. Mayaba N Vadher,doctors,23.2256338,69.6540809,,,,,Gujarat,Kutch,370001.0,,,,,,
,Pinky Homeo Clinic,clinic,22.840331,69.735014,,,,,Gujarat,Kutch,370421.0,,,,,,
,Jivandeep Clinic,clinic,22.8397321,69.7251053,,,,,Gujarat,Kutch,370421.0,,,,,,
,Amruta Clinic,clinic,22.8987095,69.4716308,,,,,Gujarat,Kutch,370435.0,,,,,,
,Aims Clinic,clinic,22.88355,69.554804,,,,,Gujarat,Kutch,370405.0,,,,,,
,Sai Clinic,clinic,22.8390685,69.7236637,,,,,Gujarat,Kutch,370421.0,,,,,,
,Ashirwad Clinic,clinic,22.83068,69.349103,,,,,Gujarat,Kutch,370465.0,,,,,,
,Ruchi Homeo Clinic,clinic,22.84136,69.733255,,,,,Gujarat,Kutch,370421.0,,,,,,
,Maska TB Clinic,clinic,22.8373282,69.3767987,,,,,Gujarat,Kutch,370460.0,,,,,,
,Rastey Clinic,clinic,22.873273,69.62751,,,,,Gujarat,Kutch,370405.0,,,,,,
,Karena Clinic,clinic,22.837678,69.695592,,,,,Gujarat,Kutch,370421.0,,,,,,
,Dr. Aditya Chandarana Medical Clinic,clinic,22.8962268,69.4100893,,,,,Gujarat,Kutch,370460.0,,,,,,
,Arihant Eye Care,clinic,23.225487,69.649701,,,,,Gujarat,Kutch,370001.0,,,,,,
,Dr. Dharmesh Maniyar,doctors,22.8121003,70.827577,,,,,Gujarat,Morbi,363641.0,,,,,,
,Shree Raj Rajeshwari Clinic,clinic,22.8190854,70.8297303,,,,,Gujarat,Morbi,363641.0,,,,,,
,Dr. Aervadia Clinic,clinic,22.819705,70.8292049,,,,,Gujarat,Morbi,363641.0,,,,,,
,Dhaval Clinic,clinic,22.809183,70.829951,,,,,Gujarat,Morbi,363641.0,,,,,,
,Dr. Anil N. Patel,doctors,22.815922,70.830444,,,,,Gujarat,Morbi,363641.0,,,,,,
,Shree Hari Clinic,clinic,22.887005,70.881248,,,,,Gujarat,Morbi,363641.0,,,,,,
,Dr. Sanjay Patel,doctors,22.814295,70.83085,,,,,Gujarat,Morbi,363641.0,,,,,,
,Manasvi Clinic,clinic,22.8234254,70.8518041,,,,,Gujarat,Morbi,363642.0,,,,,,
,Shree Ram Clinic,clinic,22.857203,70.951211,,,,,Gujarat,Morbi,,,,,,,
,Dr. J. H. Tolia Clinic,clinic,22.8135921,70.8296662,,,,,Gujarat,Morbi,363641.0,,,,,,
,Dr.C P Chatrola,doctors,22.8170602,70.8311492,,,,,Gujarat,Morbi,363641.0,,,,,,
,Umiya Clinic,clinic,22.907886,70.891295,,,,,Gujarat,Morbi,363641.0,,,,,,
,Dr. D.S.Patel Clinic,clinic,22.825977,70.8510061,,,,,Gujarat,Morbi,363641.0,,,,,,
,Dr. Ketan Aghara,doctors,22.81402,70.829948,,,,,Gujarat,Morbi,363641.0,,,,,,
,Anurag Clinic,clinic,22.8193578,70.8296621,,,,,Gujarat,Morbi,363641.0,,,,,,
,Om Clinic & Occupational Health Centre,clinic,22.843019,70.862091,,,,,Gujarat,Morbi,363641.0,,,,,,
,Om Clinic,clinic,22.828123,70.860611,,,,,Gujarat,Morbi,363641.0,,,,,,
