Clinic Name,Speciality,City,State,Contact,Opening Hours,Address
Dhanvantari Clinic,,,Maharashtra,9277666941,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"S2/Mayur Chs Ltd, Subhash Road , Chincholi Pada, Dombiivli (W)"
Nanda Nursing Home,,,Maharashtra,9199960123,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"103,104,Lobo Mansion, OppositeDigamber Jain Temple, S.V.P.Road, Borivali"
Ankur Nursing Home,,,Maharashtra,9192732575,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Mohan Plaza, Opposite Vitthalwadi Police Stn,O T Section"
Palkar Hospital,,,Maharashtra,9434075248,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. 121, Goyal Shopping Arcade OppositeStation, Borivli West"
Wagholikar Eye Clinic,,,Maharashtra,9413058384,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"13 A, Malhar Peth"
Shri Gajanan Netralaya,,,Maharashtra,9840766240,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"20/21, Vardhman Vatika, B Wing, Chitalsar, Manpada, Thane West"
Sunita Nursing Home,,,Maharashtra,9766368448,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Bharat Colony, Handewadi Road, Near Ganga Village, Hadpsar"
Manorama Nursing Home,,,Maharashtra,9257868191,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Sai Sadan Bldg, Ambawadi, Nallasopara East"
Dr V G Joshi,,,Maharashtra,9845558497,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Station Road Ichalkaranji
Kiddie Ville Clinic,,,Maharashtra,9678769498,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Ground Floor Surya Bldg Opp Holy Family Hospital 79 Hill Road Bandra
Indu Clinic,,,Maharashtra,9779970390,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,58 Royal Terrace Wode House Road Colaba
"Surya Nursing Home, Nashik",,,Maharashtra,9520804767,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Gaikwad Mala,Behind Regimental Cinema"
Hitankshi Polyclinic and Nursing Home,,,Maharashtra,9665599781,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"F-004,Indraprastha Society,Behind Ayyappa Temple,Poonam Sagar"
"Krishna Nursing Home, Mumbai",,,Maharashtra,9156753483,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Neha Apts, L.B.S Marg, Bhandup (W)"
Neeti Clinics and Nursing Home,,,Maharashtra,9812939446,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"21,Neeti Gaurav Complex,Central Bazar Road.Ramdaspeth"
Natasha Nursing Home,,,Maharashtra,9240418256,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Plot No, 336, Pimpri"
"Nirmal Nursing Home, Mumbai",,,Maharashtra,9796961659,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Gokul 1st Floor Near Senapati Bapat Statue 93 Ranade Road Dadar
Shri Sai Clinic and Hospital,,,Maharashtra,9070301576,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ai Javan Chouk, Nashik-Pune Highway, Sangamner"
"Raj Nursing Home, Mumbai",,,Maharashtra,9365511117,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Riddhi Apartment Road No-1, Puspha Park, Off Daftary Road Malad-M,"
Bosco Nursing Home and Ent Research Centre,,,Maharashtra,9435705791,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Continental Bldg, Opp, Glaxo"
Patel Surgical and Endoscopic Clinic,,,Maharashtra,9550323171,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"25, Lokmanya Colony"
Dr Worlikar's Shree Surgical and General Nursing Home,,,Maharashtra,9237974679,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Anuj Apt., 1st Flogr, Parabhat Nagar, S.V.Road, Dahisar(E)"
Pabalkar Nursing Home,,,Maharashtra,9868817418,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. 1208, Shukravar Peth, Lane No 3, Near Shivaji Maratha High School"
Voras Nursing Home,,,Maharashtra,9305893677,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Paresh, 4-A Bhulabhai Desai Road"
Taj Nursing Home,,,Maharashtra,9310426500,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Near Shanti Nagar Garden
Disha Clinic-Akulj-Solapur,,,Maharashtra,9115658963,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Sujay Complex, Sangramnagar,Akuj"
Harsh Eye Clinic,,,Maharashtra,9124994735,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Mayur Trade Centre, Q-217, 2nd Flr., Opp Unique Hosp., Chinchwad"
Tejas Eye Clinic,,,Maharashtra,9740577542,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Bldg.No.56, Gandhi Nagar, Bandra East"
Al-Moin Nursing Home,,,Maharashtra,9827915300,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"455, Murtuza Compound, Opp Taware Stadium, Bhiwandi"
Amar Nursing Home,,,Maharashtra,9707559479,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Amar Apt. Opposite Telephone Exchange, S.V.Road, Kandiveli(West)"
"Ashirwad Nursing Home, Nallasopara",,,Maharashtra,9028735320,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Seema Complex, Tulinj Road C-Wing Nallasopara - East"
Bathia Hospital and Eye Clinic,,,Maharashtra,9000399027,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Krishna Kunj, Maharashtra Nagar, Off Chandavarkar Road, , Opp Indian Overseas Bank, Borivali West"
E N T Clinic and Deafness Center,,,Maharashtra,9462696126,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. 16, Nityanand Nagar-Ii, Opp Bank Of Maharashtra, Near Flyover Bridge, Stationsahar Road) Andheri E)"
Rajvi Clinic,,,Maharashtra,9318412216,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,139 Unity Frd Floor Road No 5 Shivaji Park
Shrirang Nursing Home,,,Maharashtra,9527436063,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Laxmi Nagar, Near S.T. Stand, Koregaon"
"Surya Netralaya, Pune",,,Maharashtra,9282475114,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Legacy , 2nd Floor, D P Road, Above Lifeline Hospital, Aundh"
Sharda Netralay,,,Maharashtra,9478126262,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Sharda Netralay, Reu Nagar, Nakane Road, Devpur"
L.C.Maneks Polyclinic and Nursing Home,,,Maharashtra,9341482873,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Parvati Palace, Shivpuri Compound, Near Akbarally, Chembur, Opposite Alllahabad Bank"
Ishita Nursing Home,,,Maharashtra,9929400851,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"B-103/104, Hetal Arch, Opposite Natraj Market,Off. S. V. Road, Malad (W)"
Ahura Nursing Home,,,Maharashtra,9747075065,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Behind State Bank Of Indore, Marve Road, , Malad (West)"
Usha Nursing Home,,,Maharashtra,9085680824,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Sector No.149. M.G.Road
Alhat Nursing Home,,,Maharashtra,9352868212,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Hira Ratan Niwas, Near Pmt Chowk, Pune Nasik Road, Bhosari"
Marathe Nursing Home,,,Maharashtra,9934004960,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"26, Shri Niketan Society, Jayant Pandurang Naik Path, Kothrud"
Netra Jyoti Eye Care Center,ophthalmology,,Maharashtra,9381076499,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"205. 2nd Floor, Kesar Kripa Co-Operative Housing Society, Chandavarkar Road, Above Saraswat Bank, Diagonally Opposite Raj Mahal Hotel, Borivali West"
Agrawal Nursing Home,,,Maharashtra,9782792146,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Kasturba Road
Gupta Nursing Home and Fine Morning Hospital and Research Center,,,Maharashtra,9765297367,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Opposite Diksha Bhoomi, D/9, Behind Chitrakala Mahavidyalay, Laxminagar"
Bhalerao Nursing Home,,,Maharashtra,9400160521,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. 494, Ramdaspeth, Behind Kalpana Building"
Shah Nursing Home,,,Maharashtra,9929565865,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"471/C, Manu Mahal, 1st Floor, Block No.4/5, Above Centurion Bank Of Punjab, Maheshwari Udyan, Matunga"
Shakuntala Nursing Home,,,Maharashtra,9056848336,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"254/3383, Tagore Nagar, Ganesh Mandir Road, Vikhroli East"
Aniket Nursing Home,,,Maharashtra,9922987195,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"272, Laxmi Nagar"
Prakash Nursing Home,,,Maharashtra,9722434707,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Vishal Apartment, Opposite Union Bank Of India, Vasai Road(W)"
Priyanka Eye Clinic,,,Maharashtra,9621215483,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Rh No 2 Suyash Society,Sector 2 Opposite Shabri Hotel,New Panvel,Navi"
Saifee Polyclinic and Diagnostic Centre,,,Maharashtra,9268701497,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Ghiya Compound 2nd Hasnabad Lane Santacruz (West)
Eclat Polyclinic,,,Maharashtra,9610801101,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Anil Villa,Vallabhabhai Road,Opp Nanavati Womens College,Vileparle West"
Neo Clinic,,,Maharashtra,9570718423,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,917/21 Ii Floor F.C. Road
Narvekar Clinics,,,Maharashtra,9161214702,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Goola Mansion, Jam-E-Jamshed Road, Near Five Gardens"
Dwarkesh Nursing Home,,,Maharashtra,9952123719,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Khajooria Tank Road Milap Theatre Kandivali
Linkway Nursing Home and Polyclinic,,,Maharashtra,9524529291,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Link Road, Behram Baug, OppositeM.G.High School, Jogeshwari(W)"
Sanket Eye Clinic,,,Maharashtra,9111881832,Mo-Sa 08:00-18:00,"Near Bhagini Nivedita Bank, Budhwarpeth, Talegaon Dabhade"
Shree Saraswati Nursing Home,,,Maharashtra,9886471234,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"2, Anand Sagar, Mogal Lane Matunga Bombay"
Mangala Nursing Home,,,Maharashtra,9476877637,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"# 1, Symphony Appts., Azad Road, Gundavli, Andheri (East)"
S P Deshpande Eye Clinic,,,Maharashtra,9533769152,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Awanti Apartments Opposiste Amti Ganpati Kelkar Road Narayanpeth
Dr Jayant Doshi,,,Maharashtra,9829906156,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Jolly Centre, Tilak Road, Next To Bank Of Maharashtra first Floor, Santa Cruz(W)"
Shri Ramkrishna Nursing Home,,,Maharashtra,9527455777,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Prajapati Cascade, 1st Floor, Sector-1, Road No.18"
Leela More Chest Clinic,,,Maharashtra,9225170757,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"57, North Aveneu , Dhantoli"
Kusumshri Nursing Home,,,Maharashtra,9799324673,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Main Road Mukthai Nagar
Riddhi Nursing Home,,,Maharashtra,9217140416,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Veena Sur Shyam Complex, Next To Vasant,Nagari, Nallasopara Link Road, Nallasopara (E)"
Dr Talathi Nursing Home,,,Maharashtra,9937035067,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Roha Kolad Road, Dhamkhadi, Roha"
Undre Hospital;Undre Hospital Wagholi,crtical_care,Wagholo,Maharashtra,9978476842,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Shanti Park, Plot No-4, Kesnand Pata"
Dr.Navangule Orthopedic Hospital,,,Maharashtra,9919955624,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Hindu Colony ,Kudal"
Radhika Nursing Home,,,Maharashtra,9375582402,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ajinkya Colony, Powai Naka, Ajinkya Colony"
Rama Clinic,,,Maharashtra,9570744011,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"666E,Shahupuri,2nd.Lane"
Savaskar Nursing Home,,,Maharashtra,9438080515,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Hotgi Road
Agarwal Nursing Home,,,Maharashtra,9216038731,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"C - 12-15, Bombay Market, Station Road, Bhayender (W)"
Borade Clinic,,,Maharashtra,9722810298,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"101, Paradise 79, Railway Lines"
Shanti Prabha Nursing Home,,,Maharashtra,9655152593,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Mehadia Bhavan, Wardha Road, Opposite Lokmat Building, Dhantoli"
Dr. Bhanushalis Nursing Home,,,Maharashtra,9308261246,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Avantika Apt., New Maneklal Estate, Ghatkopar (W)"
Good Nursing Home,,,Maharashtra,9044891788,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Gulistan Apartment Near Shandar Market Vanjar Patti Naka Bhiwandi
Dr. Sundeep D. Jadhav's Nursing Home,,,Maharashtra,9323447111,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Jamuna Building, Ground Floor, Santoshi Mata Mandir Road, Opposite Vikas Apartment, Kalyan West"
Vrindavan Nursing Home,,,Maharashtra,9564114267,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"6 Raj Kiran, Near Swimming Pool , M.G.Road, Kandivli West"
Dr Dipak Achalare Eye Hospital,,,Maharashtra,9845035817,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Atpadi - Pandharpur Road, New Karad Naka"
Sushil Surgical Nursing Home and Video Endoscopy Centre,,,Maharashtra,9870852707,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"28, Saptashrungi Colony, Old Gangapur Naka, Behind Khatibs Dairy"
Powai Polyclinic and Hospital,,,Maharashtra,9076656890,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"19/A, Opposite Iit Main Gate, Powai"
Vidula Nursing Home & Fertility Clinic,,,Maharashtra,9104429507,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Runanuvandha,Murkute Colony (New Pandit Colony)"
Trimurti Clinic,,,Maharashtra,9179222040,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Shashinil, Jawahar Nagar, Behind Bhaji Market, Pen"
Tiwari Surgical Clinic,,,Maharashtra,9756684840,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Ramnath Alibag
"Vaishnavi Nursing Home, Amravati",,,Maharashtra,9942567882,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Rukhmini Nagar
Dr. Paranjpes Eye Clinic,,,Maharashtra,9717095694,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"` Sulochan`, Near Ing Vysya Bank, Ram Maruti Toad"
Bidwai Nursing Home,,,Maharashtra,9849156090,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"12, Doctor`S Lane , Vaziirabad"
Sunder Nursing Home,,,Maharashtra,9759060687,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Mangal Bazar Road Teenbatti Bhiwandi
Dr Vaje Nursing Home,,,Maharashtra,9269116197,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Dr Vaje Nursing Home, Shreebag - 2, Alibag"
Drishti Eye Clinic and Phoco Centre,,,Maharashtra,9386873546,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Near Water Tank, Madhav Peth, Miraj"
Dr. Amins Clinic,,,Maharashtra,9367995808,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"901-902,Tulsani Chambers,9Th Floor,212 Free Press Journal Marg"
Amina Nursing Home,,,Maharashtra,9125809421,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"193, Dargah Road, Opposite Bombay Ice-Factory, Bhiwandi"
Kimmatkar Nursing Home,,,Maharashtra,9266581953,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"274 Shendre Complex Chhaprunagar Chowk , Central Avenue"
Vishwas Nursing Home,,,Maharashtra,9159116360,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Plot No.25/1+2, Behind Marketyard"
Ameya Clinic,,,Maharashtra,9157713761,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"115, Middle Class Housing Society, Near Telephone Exchange, Panvel"
Rahul Eye Clinic,,,Maharashtra,9892801701,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"S-1 Unit/Shop No.9, Sunder Nagar, S.V.Road,Malad - W"
Dhanwantari Nursing Home and Diagnostic Centre,,,Maharashtra,9784125514,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Flr, United Enclave 60Ft Road, Dharavi"
Kavde Nursing Home,,,Maharashtra,9252302521,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Near Manisha Theatre, Uttam Nagar, Shivne"
Saswade Eye Clinic and Laser Centre,,,Maharashtra,9652130307,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Plot No.3, Jai Vishwabharti Colony, Tilak Nagar, Chetakghoda Chowki"
Dr Mukul Dabholkar,,,Maharashtra,9195467148,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Floor, Hill View, Mount View Co Operative Housing Society, Opposite Mehboob Studio, Patel Stores, Hill Raod, Bandra West"
"CGHS Dispensary No.1, C.G.O.",,,Maharashtra,9525639094,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"CGO Building, Maharshi Karve Road"
Hi-Tech Urology Centre,,,Maharashtra,9398450905,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ground Floor, Sushobhan, Opposite MCGM Market, Sarojini Naidu Road, Behind Bhurabhai Hall, Kandiwali West"
Kedar Nursing Home,,,Maharashtra,9147806368,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"B 101, Gokul Monarch, Thakur Complex, Kandivali East"
Dr. Gandhi's Nusing Home,,,Maharashtra,9015724656,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Mangal Murti Cooperative Housing Society, Off. S.K. Bole Road, Near Raheja Princess, Agar Bazar, Dadar West"
"Krishna Nursing Home, Thane",,,Maharashtra,9193217783,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Dr Sheetal Patil / Dr Vinay Patil, Neel Orchid Building, Plot No 41, Khanda Colony, Sector No 10, Near St Joseph Cbse High School, Panvel, Navi Mumbai"
Shah Eye Clinic and Microsurgery Centre,,,Maharashtra,9450616033,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"103/4/5/6, Parimal Building, Daffary Road, Opposite Raja Medical Centre , Malad ( E)"
Dr Rahul V Raje Dental Clinic,,,Maharashtra,9467476288,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Sagar Residency, Main Road, Near Shah Hospital, Chakan, Tal. Khed"
Paras Nursing Home,,,Maharashtra,9055905660,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Sai Krupa, Mg Cross Road No 3, Near Mandvi Co Op Bank Ltd Opp Modi Nagar, Kandivli ( W)"
Masrani Clinic For Women and Mimas,,,Maharashtra,9921501156,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Matru Ashish Near Hotel Karl Residency Lallubhai Park Andheri (W)
Dr. Bumb Nursing Home,,,Maharashtra,9715502297,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Floor, Satyam Arcade, Ramwadi, Nagar Road"
Empire Centre,,,Maharashtra,9318870226,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,52 Natasha 3Road Floor Hill Road Bandra West
Kolekar Nursing Home,,,Maharashtra,9913288417,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"N G Acharya Marg, Khardeo Nagar Ghatla Chembur"
"Anand Nursing Home, Borivali (E)",,,Maharashtra,9055538744,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Godavari, E-Wing, Shanti-Van, Next To National Park, Borivali (East)"
Dr. Chhedas Eye Clinic and Day Care Unit,,,Maharashtra,9790914758,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"A-106,Kasturi Plaza, Manpada Road, Dombivli (East)"
Prathamesh Clinic,,,Maharashtra,9599390302,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Laxminagar, Shinde Nagar, Mulanagar, Old Sangvi, Pimpri-Chinchwad"
Kolhapur Cancer Centre,,,Maharashtra,9936145085,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"A/p. R. S. No. 238, Gokul Shirgaon, Karveer"
Memon Nursing Home - Pusad,,,Maharashtra,9092840354,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Gujari Chowk
Aditya Nursing Home,,,Maharashtra,9727303345,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Floor, Gopal Sadan, Off Western Express Highway, Near Pump House Bridge, Andheri (E)"
Samarth Nursing Home,,,Maharashtra,9996549740,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Pancharishi Gograswadi Gate , Sant Namdev Path , Dombivli ( East )"
Prakash Memorial Clinic,,,Maharashtra,9256656132,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Near Ganesh Bhaji Mandal, Islampur"
Golhar Nursing Home,,,Maharashtra,9208157924,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"20, 1st Floor K K Business Plazam, Central Bazar Road, Lokmat Square, Ramdaspeth"
Dr Malatibai Chitnis Clinic and Hospital,,,Maharashtra,9638297775,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Madhu - Malati, Malatibai Chitnis Chowk, V. S Marg ,Thane(W)"
Siddhivinayak Nursing Home,,,Maharashtra,9042353265,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1195-E,Opposiste Mahagaonkar Complex,Near Kamala College, Main Road, Takala"
Ashwini Laboratory,,,Maharashtra,9596895109,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Andheri
Kalyani Nursing Home,,,Maharashtra,9069963388,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Delhi Gate,Patangangalli"
Rose Petal Nursing Home,,,Maharashtra,9607804002,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Nanddham, L T Road , Borivli (W)"
Shri Sai Clinic,,,Maharashtra,9305771690,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"S.No. 28, Shop No.2, Shri Krishna Nagar Dapodi Road, Pimple Gurav"
Dr.A.K.Kelkar,,,Maharashtra,9401167317,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Shubhraj Towers,Dutta Chowk"
"Pooja Nursing Home, Aurangabad",,,Maharashtra,9831984561,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Rachanakar Colony, New Usmanpura"
Dr Meenu Agarwal Clinic,,,Maharashtra,9036515357,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Camp
Arundhati Nursing Home,,,Maharashtra,9702857560,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Training College Road Laxminagar Phaltan
Patel Clinic,,,Maharashtra,9487660976,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Kuber Apartment, A Joshi Ali, Near City Police Station. Panvel"
Sai Seva Hospital,,,Maharashtra,9619126698,closed,"Deccantower, Opp:Pulgatepostoffice"
Dr.Sandip A.Kotwal,,,Maharashtra,9731917205,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Takliphata Dwarka
N S Optical Contact Lens Clinic Ghatkopar,,,Maharashtra,9069078848,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Jain Sthanak Chawl, Dr Baba Saheb Ambedkar Rd, Chinchpokali (East)"
Dr Panchals Ishita Nursing Home,,,Maharashtra,9925505395,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. B-103 / 104, Hetal Arch, Opposite Natraj Market, Off. S.V. Road, Malad West"
K. M. C.Nursing Home and Polyclinic,,,Maharashtra,9147550400,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Dongri Pada Ghodbunder Road Thaane
Kataria Eye Clinic,,,Maharashtra,9266360195,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"103,Kartar Bhavan,Colaba M"
Maniar Clinic,,,Maharashtra,9298101054,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"D1,Khira Nagar , S.V. Road, Santacruz (W)"
Pawal Clinic,,,Maharashtra,9151992670,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Plot No. 32, Sector-9, Opp D.A.V. School, New Panvel East"
Abhishek Nursing Home,,,Maharashtra,9963842193,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Jagruti Co-Op Hsg Near Maratha Mandir Co-Op Bank,Bhatwadi Ghatkopar"
"Indira Nursing Home, Pune",,,Maharashtra,9898564577,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Patil Wada, Shubhang Park Building, Pirangut Bus Stop, Mulshi"
Modern Clinic,,,Maharashtra,9784664197,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1038, Bramanshahi Wai"
Dr. Savlas Stone Clinic And Endoscopy Centre,,,Maharashtra,9755794504,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No-2/3, Dharmoday Building, Jivdaya Lane, Ghatkopar West"
Dandekar Clinic,,,Maharashtra,9451748605,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Near Primary Marathi Kanyashala Panvel
Qamar Nursing Home,,,Maharashtra,9317822591,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Noorjahan Apartment, Behind Kandhari Building, Mujahid Road, Kausa, Mumbra"
"Mangal Prabhu Nursing Home, Polyclinic and Diagnostic Center",paediatrics;paediatric_surgery;orthopaedics;surgery;oncology;urology;nephrology;child_psychiatry;general;gynaecology;haematology;blood_check;internal,Navi Mumbai,Maharashtra,9128777765,24/7,"Plot No.27, Sector - 24, Near To Juinagar, West Railway Station, Sanpada - Juinagar, Navi Mumbai"
Wagh Eye Clinic,,,Maharashtra,9647199962,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1194/24, Mugut Apartment, Ghole Road, Shivajinagar"
"Sushrut Nursing Home, Nandurbar",,,Maharashtra,9619852747,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Khetiya Road, Shahada"
Namitha Polyclinic and Hospital,,,Maharashtra,9344679280,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ganga Shalimar,Navyug Nagar,S.Y.Road,Dahisar(E)"
