Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact,State
Apollo Hospitals Bilaspur,"Seepat Road,Bilaspur(C.G)",Unknown,Government,9469854779,Karnataka
Apollo Hospitals Enterprise Ltd,"Plt # 251,Sainik School Road,",Unknown,Government,9553935003,Assam
Apollo Hospitals Enterprise Ltd,"Dmrl Cross Road, Santhosh Nagar,Kanchanbag, Hyderabad -500058","Few Left, Book Now",Private,9142498775,Sikkim
Apollo Hospitals Karaikudi,"Madurai Main Road, Managiri Village Karaikodi, Tamilnadu-630307, Near, Chettinad Public School",Unknown,Government,9795879869,Puducherry
Apollo Koramangala Cradle Limited,"#25. 46Th Cross, 5Th Block, Jayanagar, Bangalore, Karnataka","Few Left, Book Now",Private,9819196718,Karnataka
Apollo Koramangla Cradle Limited,"No.58, 5Th Cross, 18Th Main Koramangla, 6Th Block, Bangalore, Karnataka.","Few Left, Book Now",Private,9255127363,Karnataka
Apollo Nursing Home,"H.No.3-3-111,Sawaran Street,Civil Hospital Road",Unknown,Government,9368759466,Nagaland
Apollo Speciality Hospital (Chennai),"No 320 5Th Floor, Padma Complex, Anna Salai, Near Lr Swami Building, Nandanam, Chennai, Tamil Nadu","Few Left, Book Now",Private,9594051176,Tamil Nadu
Apollo Speciality Hospital (Madurai),"20,Lake View, Kk Nagar,",Unknown,Government,9916208855,Karnataka
Apollo Victor Hospital,"Malbhat, Margao, South Goa, Salcetemargao",Available,Government,9912838810,Goa
Apolo Hospital,"#2509/3,Bhushanpura,Inside Suctan Wind Gate",Unknown,Government,9415079081,Mizoram
Apoorva Health Services Pvt Ltd,"50-17-62, Rajendranagar, Visakhapatnam-530016",Limited Seats,Municipal,9984642729,Chhattisgarh
Apoorva Hospital,"46/A, Santoshnagar Colony,Mehdipatnam, Hyderabad-500028","Few Left, Book Now",Private,9303742996,Uttarakhand
Apoorva Hospital,"3Rd Main Road, 9Th Cross, J.P. Extention.",Unknown,Government,9768434231,Gujarat
Apoorva Multispeiality Hospital,"Shreem 4889/90, Off Dr S P M Road, Near Prakash Theatre, Shastrinagar, Belgum- 590002",Unknown,Government,9373586600,Madhya Pradesh
Appasamy Medicare Centre Pvt Ltd,"23-25, Friends Avenue, Arumbakkam, Chennaiarumbakkam","Few Left, Book Now",Private,9039020317,Jammu
Apple Hospital,"Plot # 266,Vivekanandanagar Colony,Kukatpally",Unknown,Government,9217782372,Mizoram
Apple Hospital,#32 Maruthi Complex M S Nagar Bus Stop Banaswadi Main Road Bangalore,"Few Left, Book Now",Private,9484036822,Tamil Nadu
Appollo Medical Invstgations & Appollo Nursing Home,"# 584, M.G. Road, New Palasiaindore",Available,Government,9618252689,Karnataka
Appusami Hospital,"# 8Z/A, Gandhi Road,Salem-636007.",Available,Government,9240699275,Madhya Pradesh
Apulki Vairagade Multispeciality Hospital,"Manewada Cement Road,Plot # 151,Opp To Navdurga Mandir",Unknown,Government,9579740314,Uttarakhand
Arasan Eye Hospital,"#26, Annamalai Layout,Opp To Road Theatre",Unknown,Government,9645532345,Kashmir
Aravali Hospital,"# 332, Ambamata Schemeudaipur, Rajasthan",Unknown,Government,9257300798,Rajasthan
Aravind Eye Hospital (Salem),"64, Sankagiri Main Road, Nethimedu, Salem, Tamilnadu-636002, Opposite To Kaliamman Temple",Available,Government,9118102961,Andhra Pradesh
Aravind Eye Hospital - Coimbatore,"Avanashi Road, Coimbatore-641014Teelametu",Available,Government,9970497996,Haryana
Aravind Eye Hospital - Pondicherry,"Cuddalore Main Road,Abishekapakkam Post,Thavalakuppam, Pondicherry-605007Thavalakuppam",Unknown,Government,9419761588,Karnataka
Aravind Eye Hospital - Theni,"371,Periakulam Road,Allinagaram",Unknown,Government,9966662351,Meghalaya
Aravind Eye Hospital - Tirunelveli,# 1. S.N. High Road,Unknown,Government,9833578238,Andhra Pradesh
Aravind Eye Hospital Private Limited,"# 12-2-824/A/1, Santosh Nagar Colony, Opp:St.Ann'S Womens College, Mehdipatnam. Hyderabad-500028","Few Left, Book Now",Private,9858961425,Delhi
Aravind Eye Hospital- Madhurai,"1- Anna Nagar, Madurai-625020Madhurai",Unknown,Government,9495026926,Uttar Pradesh
Aravind Eye Hospital-Tirupur,"Dharapuram Main Road, K. Chettipalayam, Tirupur, Tamilnadu",Unknown,Government,9332729406,Kashmir
Aravind Multispeciality Hospital,Opp Police Station Hayata Nagar Opp Police Station,Unknown,Government,9609766794,West Bengal
Aravind Nethralaya Meenakshi Hospital,"16-2-269, Swathantra Park Street,Near Saibaba Temple, Gandhi Nagar,Nellore",Unknown,Government,9732752970,Maharashtra
Aravind Sai Eye Hospital,"# 1, Ganesan Street,Pammal Main Road Krishna Nagar",Unknown,Government,9655904511,Gujarat
Aravinda Hospital,"#644,4Th Main, Aravinda Nagar,",Unknown,Government,9649480403,Telangana
Aravindam Orthopaedic And Physiotherapy Centre,"D.No-6-18-3, Kokkondavari Street, T Nagar.Rajahundry-1",Unknown,Government,9675950328,Bihar
Archana Hospital,"Airport Circlr, Sanganer",Unknown,Government,9531590072,Telangana
Archana Hospital,Ram Nagar,Unknown,Government,9182520833,Rajasthan
Archana Hospital,"K.R. Road, Ashok Nagar, Mandya-571401Mandya",Unknown,Government,9826479426,Bihar
Argade Hospital & Maternity Home,"Pune-Nashik Highway,Ambethan Chawk,Chakan Talkhed","Few Left, Book Now",Private,9447863629,Tripura
Arihant Fracture & Orthopaedic Hospital,"Upnishad, 1St Floor, Near Shreyas Rly Crossing. Ambavadi.",Unknown,Government,9500219470,Uttarakhand
Arihant Heart & Medical Hospital,"S-15, Shubh Complex,2Nd Floor, Nr.Rajasthan Hospitalrajasthan Hosp. Road,",Unknown,Government,9655448404,Rajasthan
Arihant Heart Clinic,"103, Lancelot, Next To Dattani Nagar, S V Road Borivali(West)S.V.Road, Borivili (W),",Unknown,Government,9171548487,Bihar
Arihant Hospital,"Hno-122,Block-G,Oriental Villa,Sector-57",Unknown,Government,9211070952,Meghalaya
Arihant Hospital & Research Centre,"283-A, Gumasta Nagar",Unknown,Government,9540713174,Uttarakhand
Ark Nursing Home,"29-A, 4Th Cross,Co Operative Colony Near Employment Officeco-Ops Colony",Unknown,Government,9832031140,Puducherry
Arneja Institute Of Cardialogy Pvt Ltd,"123, Ramdaspeth Behind Somalwar School",Unknown,Government,9349252673,Maharashtra
Arogyadham,"B-51, Rajendranagar",Unknown,Government,9644217436,Uttar Pradesh
Arogyalayam Hospital,"Arogayalayam Junction, By-Pass, Aluva, Ernakulam, Kerala-683101",Unknown,Government,9947516446,Kerala
Arogyam Superspeciality Hospital,"#34, Sita Nagar Wardha Road Opp Green Wally Lawns",Unknown,Government,9283960670,Delhi
Arogyaseva Medical Academy Of India,"32/2A,Erandwanabehind Mehendale Garage",Unknown,Government,9565245987,Himachal Pradesh
Arokya Hospital,"#32, Pillayar Koil Street",Unknown,Government,9303803810,Kashmir
Arora Hospital,G T Roa Chheharta Amritsar-143005,Available,Government,9060927630,Chhattisgarh
Arora Hospital(P) Ltd,"# 42, Krishnanagar,Bharatpur,",Unknown,Government,9197301362,Puducherry
Arpan General Hospital,"Arpan Shopping Arcade, 1St Floor, C.S.T. Road, Kurla West.",Unknown,Government,9738043944,Tamil Nadu
Arpan Hospital And Research Center,"15/2, Imli Bazar Near Rajnadaindore ( M.P )",Available,Government,9341332040,Assam
Arpan Maternity Hospital & Endoscopy Centre,"Uganda Road, Porbandar, Near Railway Station",Unknown,Government,9700518982,West Bengal
Artemis Medicare Services Ltd,"Sector-51,",Unknown,Government,9998460853,Madhya Pradesh
Arthroscopy & Spinal Endoscopy Centre,"Sco66, Sector 20C, Chandigarh-160020",Available,Government,9307211541,Tamil Nadu
Arthur Astrvatham Hospital,"No.42-A,Kuruvikaran Salai,",Unknown,Government,9990006849,Punjab
Arul Hospital,"#6A,T.V.K.Nagar,Puthur",Unknown,Government,9698571849,Karnataka
Arul Mission Hospital,"7A1 & 2,North Main Road,Vallioor",Unknown,Government,9314793289,Uttarakhand
Arumana Hospital,Perunthanni,Unknown,Government,9214317958,Andhra Pradesh
Arun Hospital,"#186,Munichalai Road,",Unknown,Government,9414209489,Rajasthan
Arun Hospital (Pollachi),"49/84, New Scheme Roadpollachi Coimbatore",Available,Government,9440814908,Kerala
Arun Hospital (Theni),"51, Uthamapalayam Road,Bus Stand Bodinayakanur",Unknown,Government,9706854182,Karnataka
Arun Kidney Centre,"#29-23-9,Tadepallivani Street,Suryaraopet",Unknown,Government,9132458088,Karnataka
Aruna Aspatal,"#16, Rajeev Coloni, Meera Market, Chittorgarh, Rajasthan",Unknown,Government,9151686537,Rajasthan
Aruna Hospital,"Dr.Radhakrishan Road, Tumkur",Unknown,Government,9491653734,Madhya Pradesh
Aruna Shakti Nursing Home,A.N. Guha Lane,Unknown,Government,9175910669,Mizoram
Arunn Surgery,"Dr.Nanjappa Road,",Unknown,Government,9755272002,Himachal Pradesh
Arunodaya Deseret Eye Hospital,"# Nh 4, Sector-55, Gurgaon, Haryana","Few Left, Book Now",Private,9809167428,Haryana
Arunodaya Health Care,"Lichubagan, Po-Garalgacha,P.S-Dankuni.",Unknown,Government,9345823979,Gujarat
Arunodaya Hospitals,"# 18-23,4Th And 5Th Cross Mallasandra Main Road",Unknown,Government,9226689900,Jharkhand
Arunpriya Nursing Home,"3&4, Pattamangalam Street,Nagapattinam",Unknown,Government,9710703034,Telangana
Arushi Medical Centre,"B-1/31, Sector-K, Aliganj, Lucknow - 226024",Limited Seats,Municipal,9036280507,Puducherry
Arvind Hospital Pvt Ltd,"Ashok Rajpath,Opp.Pmch,",Unknown,Government,9390547868,Madhya Pradesh
Arvinth Hospital,"# 17, Rangar Sannathi Street,Namakkal- 637001",Unknown,Government,9147894261,Kashmir
Arya Hospital,"C-1/101.Pankha Road,Janak Puri,New Delhi West,","Few Left, Book Now",Private,9924650174,Delhi
Arya Hospital Pvt Ltd,"Sco-801, Manimajra",Unknown,Government,9834708133,Odisha
Arya Medical Centre,Dinkar Desai Road.,Unknown,Government,9621053559,Himachal Pradesh
Asarfi Hospital Pvt Ltd,"At Baramuri Po,Bishanpur,Dhanbad",Unknown,Government,9592868098,Andhra Pradesh
Asg Eye Hospital Ltd-Jaipur,"D-247, Bihari Marg, Bani Park, Opp. K.P. Auto, Jaipur, Rajasthan",Limited Seats,Municipal,9980889884,Bihar
Asg Eye Hospital Ltd-Jodhpur,"A-322, Shastri Nagar, Jodhpur, Rajasthan",Unknown,Government,9850694165,Rajasthan
Asha Hospital,"H.No.19-66/11,Prashanagar Phase Ii,Behind Spencers, Hitention Road,Kapra",Unknown,Government,9419626272,Madhya Pradesh
Asha Hospital,"# 1, Akurli Cross Road, Kandivli East,Premaskram Manidr Lane,",Unknown,Government,9482009345,Puducherry
Asha Hospital,"#7,Near Lekhanagar,Cantonment,Kamptee",Unknown,Government,9155239021,Telangana
Asha Hospital& Iccu,"Plot # 134,Sect 4, Aniatic Society, Airoli,Navi Mumbai-400708","Few Left, Book Now",Private,9922020490,Mizoram
Asha Maternity & Childrens Hospital,"Ganesh Raod, Chalishoon Dist,",Unknown,Government,9284168404,Karnataka
Asha Maternity & General Hospital,"Pooja Building, Pushpa Park, Daftary Road, Malad East.",Unknown,Government,9269021037,Assam
Asha Orthopaedic Hospital,"Bashi Kalingar,#2,Geetha Bhavan Lane Off,Navghar Road,Bhayander East,Thane","Few Left, Book Now",Private,9134541818,Maharashtra
Asha Polyclinic & Shetal Nursing Home,"145, 60 Feet Road,Opp.Uti Bank,Ghatkopar(E)-400077Chatkopur (E), Mumbai - 400077","Few Left, Book Now",Private,9288010145,Mizoram
Ashirvad Hospital,"Rathnagiri Road,",Unknown,Government,9403938777,Uttarakhand
Ashirwad Children & Surgical Hospital,"No.301-306,Ruby Monarch Bldg,Sakivihar Road,Sakinaka,Opp.Post Office,",Unknown,Government,9187046783,Puducherry
Ashirwad Hospital,"#117,Kaap Kaneri,Thane,Opp Gopal Nagar Near Kalyan Naka","Few Left, Book Now",Private,9914159057,Himachal Pradesh
Ashirwad Hospital,"Maratha Section,Near Jijamatha Udyan,Ulhasnagar,Thane","Few Left, Book Now",Private,9326527917,Telangana
Ashirwad Hospital,"2Nd Floor,Punit Yash Arcade,Near Kothurd Bus Stand,Karve Road",Unknown,Government,9624762402,Nagaland
Ashirwad Hospital & Poly Clinic,"#101, 103, Anurag Busines Centre, W.T.Patil Marg, Ghtla Villate, Chemburw.T. Patil Marg,Ghatla Village",Unknown,Government,9539310411,Mizoram
Ashirwad Hospital & Research Centre,"B-38/1-C, Virdopur, Mahmorganj, Varanasi-221010",Limited Seats,Municipal,9459154230,Himachal Pradesh
Ashirwad Maternity & General Hosptial,"17,18 Samir Apt,Jesal Park,Bhayandar East,Thane","Few Left, Book Now",Private,9303218192,Punjab
Ashirwad Maternity & Nursing Home,"A/5,Harsh Appartment,Anand Nagar,Dhisar East",Unknown,Government,9415316889,Tripura
Ashirwad Medical & Orthopedic Hospital,"4-A, Subhadra Nagar, Opp. Technical School, Patan.",Unknown,Government,9560108291,Punjab
Ashirwad Nursing Home,"55-56,Ved Vyas Colony",Unknown,Government,9395004541,Jharkhand
Ashirwad Nursing Home,"'C'Wing, Seema Complex, Tulinj Road,Nalasopara(E),Thane,","Few Left, Book Now",Private,9559462854,Madhya Pradesh
Ashirwad Nursing Home & Research Centre,Hospital Raod,Unknown,Government,9609546141,Chhattisgarh
Ashirwad Orthopaedic And Surgical Nursing Home,"Jambli Galli, Opp. Jain Temple, Borivali(W)",Unknown,Government,9753461186,Puducherry
Ashirwad Surgical Hospital,"Wonder Paint,Nh8 Ctm,Amraiwadi",Unknown,Government,9544667440,Punjab
Ashish Hospital,"#1309, Napier Town,Home Science College Road.",Unknown,Government,9829947366,Assam
Ashish Orthopaedic Hospital,"24, Himalaya Complex, Nehru Park, Vajtrapur",Unknown,Government,9325829826,Manipur
Ashok Hospital,"#65,N.H.C.S. Lay-Out, 3Rd Stage, 4Th Block, Basaveshwar Nagar, Kamalanagar Main Road.",Unknown,Government,9246267188,Uttarakhand
Ashok Hosptial,"#10-A, 1St Cross, Old Banfalore Road, Hosur,",Unknown,Government,9220276823,Uttarakhand
Ashok Nursing Home,"F-3/15, Vijay Chowk,Krishna Nagarkrishnanagar, Delhi-110051.","Few Left, Book Now",Private,9905630571,Delhi
Ashoka Hospital,South Bazar.,Unknown,Government,9344281764,Haryana
Ashraya Hospital,"#26, Jetiappa Complex,Yelachenahalli, Kanakapura Rd",Unknown,Government,9594440119,Jharkhand
Ashraya Hospital,P B No 77 Naidu Streetchikmagalur,Unknown,Government,9178020284,Uttar Pradesh
Ashraya Hospital,"No.1977/1 & 2,Mcc 'A' Block,Shamanur Road,Davanagere",Unknown,Government,9383838080,Sikkim
Ashraya Medinova Pvt Ltd,"Magadi Main Road,Sunkadakatte,Srigandadakaval,",Unknown,Government,9017493765,Rajasthan
Ashtavinayak Maternity Eye & Sugical Nursing Home,"Mtnl Marg College Lane, Ramgiri Heights, 104 First Floor.",Unknown,Government,9079910932,Jharkhand
Ashtvinayak Hospital,"Khanda Colony,New Panvel West.",Unknown,Government,9078617797,Telangana
Ashveny Clinic,"1/6, Periyakaruppan Road,Sivakasi-626189",Unknown,Government,9417190842,Goa
Ashvini Maternity & Gynecological Hospital,"Plot #59/1,Old Thanaka Road,Panvel",Unknown,Government,9026776024,Arunachal Pradesh
Ashwani Hospital,"Sector 9, Huda,Market,Opp Comunity Centre",Unknown,Government,9032400205,Madhya Pradesh
Ashwani Hospital,8-D1/Sector-11,Unknown,Government,9827357828,Odisha
Ashwin Hospital,"#212/545,Skc Road,Surampatti Nall Road,",Unknown,Government,9508143594,Himachal Pradesh
Ashwin Hospitals,"#1, Alamu Nagar Road,Coimbatore-641012.",Available,Government,9199518028,Odisha
Ashwini Accident Multispeciality Hospital,"Govind Nagar,Chowk #5,Behind Hotel Prakash,",Unknown,Government,9432537739,Odisha
Ashwini Hospital,"#129, Katruguppa, Bsk 3Rd Stg,",Unknown,Government,9912877587,Telangana
Ashwini Hospital,"B.B.Road, Yelahanka,Bangalore-560064","Few Left, Book Now",Private,9155370534,Puducherry
Ashwini Hospital,"Nh-48, Nellyady,Dakshina Kannadadakshina Kannada",Unknown,Government,9126525661,Haryana
Ashwini Hospital,"Dattahasta 20/156,Bijali Nagar,Chinchwad",Unknown,Government,9365057096,Andhra Pradesh
Ashwini Hospital(A Unit Of Cuttack Hospitals Pvt Ltd),"Plot No.P3, Sector-1, Cda, Cuttack",Unknown,Government,9712650697,Odisha
Ashwini Kidney & Dialysis Centre,"301 & Central Bazar Road, Ramdaspeth, Neet Gaurav Complex, Nagpur, Maharashtra",Limited Seats,Municipal,9747557280,Maharashtra
Ashwini Maternity & Surgical Hospital,"Ambika Darshan, M G Road, Above Bharti Jewellers, Rajawadi, Ghatkopar East, Mumbai - 400075 ,M.G.Road, Ghatkopar","Few Left, Book Now",Private,9142183127,Karnataka
Ashwini Multispeciality Hospital,"Vadvau Section, Ambernath,Thane","Few Left, Book Now",Private,9432301508,Gujarat
Ashwini Nursing And Maternity Home,"Mohan Niwas Keluskar Rdnear Meenatai Thakare Statue Shivaji Parkkeluskar Road, Dadar (W)",Unknown,Government,9786305256,West Bengal
Ashwini Nursing Home,"#9, 1St A Cross. T.C. Palya Main Road, Akshyanagar, Ramamurthy Nagar.",Unknown,Government,9273552385,Meghalaya
Ashwini Nursing Home,"#382,Narayanappa Buildingd Ramamurthynagar",Unknown,Government,9327340690,Odisha
Ashwini Nursing Home,"Akka Mahadevi Road,A.V.K.College Road,P.J.Extension,Near Bapuji Corporation Bank,",Unknown,Government,9657757556,Sikkim
Ashwini Nursing Home,"S.No#51,Plot#16,Dhanori Road,Maharanapratap Chawk,Vishrantwadi",Unknown,Government,9992829812,Manipur
Ashwini Sahakari Rugnalaya & Research Centre,"North Sadar Bazar, Near Bhagatsingh Marketnear Bhagatsingh Market,",Unknown,Government,9318730012,Sikkim
Asian Eye Institute & Laser Centre,"# 101A, Satya Narayan Apartment,Off M.G.Road, Borivali(E), Mumbai-400066","Few Left, Book Now",Private,9239288415,Meghalaya
Asian Globus Liver & Gastroenterology Centre,"E-5/24,Arera Colony, Arera Petrol Pump, Bhopal",Unknown,Government,9620655150,Odisha
Asian Institute Of Gastroenterology,"6-3-661, Somajiguda, Near Red Rose Hotel, Hyderabad-500082","Few Left, Book Now",Private,9082507020,Nagaland
Asian Institute Of Medical Science,"Plot No.P-72,Milap Nagar,Midc,Dombivli,Thane,","Few Left, Book Now",Private,9918739794,Mizoram
Asian Institute Of Medical Sciences (A Unit Of Blue Sapphire Health Care Pvt Ltd),Badkal Flyover Road Opp C.P Office,Unknown,Government,9242032909,Tamil Nadu
Asian Specialty Hospital (A Unit Of Orch Hospital And Healthcare Services Llp),"# 11/A, 9Th Main, 13Th Cross, 6Th Sector Hsr Layout, Outer Ring Road, Bangalore-560102Hsr Layout","Few Left, Book Now",Private,9326420920,Odisha
Asopa Hospital,"93-B Tagore Nagar, Jaipur, Rajasthan-302024, Near D.C.M.",Limited Seats,Municipal,9337040298,Rajasthan
Asopa Hospital & Research Centre,"Garland Road, Off By Pass.",Unknown,Government,9581807065,Kashmir
Assured Best Care Hospital,"#1, Annamalai Nagar Main Road Thillai Nagarannamalai Nagar",Unknown,Government,9846217293,Himachal Pradesh
Aster Aadhar Hospital (Prerana Hospital Ltd),"R.S. No.628, 'B' Ward, Shastri Nagar, Near Kmt Workshop, Kolhapur, Maharashtra-416012Mangalwar Peth",Unknown,Government,9344821241,Maharashtra
Astha Hospital,"N.H-05, Block-2, Sector-Alpha-2, Greaer Noida-201306","Few Left, Book Now",Private,9565986378,Sikkim
Aswene Soundra Hospital & Research Centre,"# 24,Kasturi Rangan Road,Teynampet",Unknown,Government,9643784009,Nagaland
Aswinee Nursing Home,"D.No.29-26-56,Suryaraopet,Jadagamvari Street,Vijayawada,",Unknown,Government,9459660072,Madhya Pradesh
Aswini Hospital,"Karunakaran Nambiar Road, Thrissur-680020",Unknown,Government,9053654297,Nagaland
Aswini Hospitals,"15-1-17, 150 M5 From Rtc Bus Stand",Unknown,Government,9394533984,Madhya Pradesh
Aswini Mother & Child Hospital,"Taylor Pet,Narsapur",Unknown,Government,9442296792,Maharashtra
Aswini Netralayam,"16-2-89, Guntur Road, Narasaraopet.",Unknown,Government,9047721701,Haryana
Atam Prakash Yadav Hospital,"Near Nai Anaj Mandi,Bharawas Road",Unknown,Government,9602198899,Uttarakhand
Athare Patil Memorial Hosp And Research Center Pvt Ltd,"185,Savedi Road,Ahmednagar-414001Maharashtra",Unknown,Government,9974881595,Maharashtra
Athena Hospital,"Falnir Road, Mangalore-575001, Opp Ymca, Near Platinum Theatre",Unknown,Government,9742635512,Punjab
Athipathi Hospital And Research Center,"Plot No 1,100 Ft Rd,Tanni Nagar,Velachary",Unknown,Government,9206900416,Goa
Athreya Hospital,"Gonikoppal Road Opp, Kstrc Bus Stands.Kodagu",Unknown,Government,9764831758,Punjab
Atlas Hospitals,"34/1-First Cross, V.N. Nagar, Near Chathiram Bus Stand, Tiruchirapalli-620002",Unknown,Government,9680970376,Goa
Atole Accident Hospital,"Avdhoot Plaza,Bhigwan Road,",Unknown,Government,9523021405,West Bengal
Attharva Accident Hospital,"Plot # 17,Vadgaon Road,Near Bank Of Maharashtra,Talegaon Dabhade",Unknown,Government,9661727821,Maharashtra
Attingal Speciality Hospital,Parvathipuram Gramom.,Unknown,Government,9255784724,Telangana
Atul Hospital,"26-A,Bharat Nagar, Grant Roadbharat Nagar",Unknown,Government,9589125340,Assam
Atul Lok Hospital,"#139/2447,Tagore Nagar,Group-7,Vikhroli East",Unknown,Government,9612902182,Jammu
Atul Nursing Home,"#1/58, Delhi Gate, Opp. Pushpanjali Hospital, Agra-282002","Few Left, Book Now",Private,9295643047,Delhi
Aum Eye Hospital,"Jolly Bunglow Complex,Summair Club Road,",Unknown,Government,9249059659,Gujarat
Aum Hospital,"House # 22, Ward # 18.",Unknown,Government,9204514022,Gujarat
Auro Ent Hospital,"Sanjeevani Complex Opp Mehsana Society, New Vadaj Road",Unknown,Government,9988315220,Jharkhand
Aurobindo Netralaya,"4A,Rajendra Beb Road,",Unknown,Government,9524432808,Chhattisgarh
Auroma Ent Hospital,"Agrawal Tower, Bhuyangdev Cross Road, Ghatlodia",Limited Seats,Municipal,9818458505,Karnataka
Austmangal Surgical Hospital,"Ahmedabad, Civil Hospital (1 Km)","Few Left, Book Now",Private,9240128928,Assam
Avadh Hospital & Heart Centre,"9-D, Singar Nagar, Kanpur Road.",Limited Seats,Municipal,9008275696,Jammu
Avadhani Nethralaya,"No.33,1St Floor,Patalamma Temple Street,Basavanagudi,",Unknown,Government,9909287300,Manipur
Avadhoot Hospital & Iccu,"Plot # 29,Sector-19,Thane","Few Left, Book Now",Private,9600589350,Gujarat
Avanitka Hospital,"#168/A-00/Sector-2, Rohini, Near Pole Star Public School.",Unknown,Government,9788222858,West Bengal
Avanti Institute Of Cardiology Pvt. Ltd.,"# 5, Abhyankar Road,Dhontolidhantoli, Nagpur-440012",Limited Seats,Municipal,9846588218,Himachal Pradesh
Avantika Hospital,"No.137,Niti Khand-Ii,Indirapuram,",Unknown,Government,9882448416,Himachal Pradesh
Avhieta Hospital & Health Care,"280/1 Byrathi Cross, Hennur Bagalur Main Road, Bangalore-560077","Few Left, Book Now",Private,9839955777,Mizoram
Avinash Shah Memorial Multispeciality Hospital,"184-20/08/2007,Jayanagar,Sedam Road",Unknown,Government,9259369903,Gujarat
Avm Medical Ent Research Fundation,"3, P.S.S. Road,Mylapore",Unknown,Government,9128758912,Kerala
Avss Hospitals,"# 32A, Kuruvikkaran Salai, Madurai-625009",Unknown,Government,9508541446,Karnataka
Aware Global Hospital (A Unit Of Ravindranath Ge Medical Associates Pvt Ltd),"08-16-01, Lingojiguda,Saroornagar,L.B.Nagar",Unknown,Government,9936167525,Puducherry
Aware Global Hospitals,"Shanthivanam, Nagarjuna Sagar Roadnagarjuna Sagar Road,",Unknown,Government,9451979489,Maharashtra
Axis Eye Foundation,"Suite # 502, Rivera Apts Dwarakapuri Colony Panjagutta",Unknown,Government,9828686469,Goa
Axon Hospitals,"8-3-215,Srinvasanagar, Colony West, Opp Icici Bank Sr Nagar,Hyderabad-500038","Few Left, Book Now",Private,9439360384,Himachal Pradesh
Aysha Hospital,"91A Millers Road, Kilpauk",Unknown,Government,9600199388,Gujarat
Ayub Ansari Nursing Home,"Q-39,S.A.Farooquie Road,Metiabru,",Unknown,Government,9489272228,Rajasthan
Ayush Hospital,"Premises # 1-2-30/7, Nizampet Road.",Unknown,Government,9690152714,Gujarat
Ayush Hospitals & Trauma Care Pvt Ltd,"#13-14,Acharya Vihar Square,Acharya Vihar,Bhubaneswar",Available,Government,9586219633,Puducherry
Ayushmaan Hospital & Diagnostic Institute,"Sunder Nagar, Mahadeo Ghat Road, Raipur",Unknown,Government,9701816633,Goa
Ayushman Hospital,"# 2, Sec-12, Dwarka",Unknown,Government,9729132912,Telangana
Ayushman Hospital,"C-Sector, Shahpura Lake",Unknown,Government,9086102644,Madhya Pradesh
Ayushman Hospital & Trauma Centre,37K.M. Hero Honda Chowk.,Unknown,Government,9401023129,Sikkim
Ayushman Hospital & Trauma Centre,"J25/59, Alaipur, G.T. Road, Infornt Of Varanasi City Railway Station, Varanasi-221001",Limited Seats,Municipal,9363282873,Gujarat
Ayushman Neuro Cardio Centre Shubham Hospital,"14-B,Vijaynagar Extension,Near Prem Motors,Baant Vihar",Unknown,Government,9181272549,Odisha
Azam Hospital,"21-4-189, Azam Hospital, Hussaini Alam, Hyderbad-500002",Unknown,Government,9308814970,Meghalaya
Azra Memorial Hospital,"Water Works Road, Aishbagh Opp Ramleela Maidan Opp Ramleela Maidan Besides Aishbabagh Eidgah",Unknown,Government,9257452514,Madhya Pradesh
B M Birla Heart Research Centre,"1/1, National Library Avenue",Unknown,Government,9513701478,Chhattisgarh
B M Hospitals,"36, 5Th Main Road,Thillai Ganga Nagarcheenai",Unknown,Government,9658434111,Tamil Nadu
B.A Hospital & Training Centre,"Thumbay,Bantwal",Unknown,Government,9254061286,Maharashtra
B.B Hospital,"No.52,Dayalu Nagar,Kolathur,Near Villirakham Railway Station,",Unknown,Government,9948962793,Puducherry
B.G Hospital,"1/143-B,Tuticorin Road,Veerapandianpatnam, Tiruchendur",Limited Seats,Municipal,9665553720,Gujarat
B.G. Hospital,"Mayamma Thimmappa Complex, Tumkur Road, Anchepalya.",Unknown,Government,9016562741,Jammu
B.G.S Vivus Heart Centre,"Bandhi Gowda Extension,Bangalore Mysore Highway,","Few Left, Book Now",Private,9799034153,Jharkhand
B.J. Lingegowda Hospital,Bangalore-Mysore Road,"Few Left, Book Now",Private,9053344511,Odisha
B.J.S.Bal Memorial Hospital,"#11/4,Dharampur Colony,Batala,Gurdaspur",Unknown,Government,9114707577,Kashmir
B.K.Heart Hospital Pvt Ltd,"N 7/1,R-12,Bhikharipur,Dlw,Bhu,Varanasi",Limited Seats,Municipal,9857533626,West Bengal
B.K.Memorial Hospital,"Natun Para Near Ganesh Mill Char Ali,Tezpur",Unknown,Government,9157645375,Tamil Nadu
B.K.R Hospital,"8-3-164/C, Erragadda, Beside Gokul Theatre.",Unknown,Government,9917960454,Telangana
B.M. Gupta Nursing Home Pvt Ltd.,"H-11, Uttam Nagar, New Delhi","Few Left, Book Now",Private,9753652045,Delhi
B.M.Orthopaedic Hospital,"No.3/157, Mth Road, Ambattur,Chennai - 53","Few Left, Book Now",Private,9707030026,Punjab
B.M.R Hospitals,"6Th Lane,2Nd Cross,Arundelpet",Unknown,Government,9950950326,Mizoram
