Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact
Amma Children'S Hospital,"No.137-7-109/D, Old Club Road, Gunturvari Thota, Guntur-522001",Unknown,Government,9126475262
Amma Hospital,"9-64-2,Syed Gulab Street,Kothapet",Unknown,Government,9433630949
Amma Hospital,"32/515,Near Sri Rama Temple",Unknown,Government,9875329839
Amma Hospital,"# 1, Sowrastra Nagar7Th Street, Chennai","Few Left, Book Now",Private,9912457379
Amma Hospital,"Bangalore Road, Hosur Town","Few Left, Book Now",Private,9929507452
Ammayi Eye Hospital,"New # 80, 7Th Avenue, Ashoknagar, Chennai-600083","Few Left, Book Now",Private,9688469327
Amri Hospitals Ltd,"Jc 16 & 17, Salt Lake City, Sector - Iii, Annexe Build. Kb 24, Salt Lake City, Sector - Iii, Kolkata",Available,Government,9067457173
Amri Medical Center,"97A, Southern Avenue, Opp To Lake Stadium, Kolkata-700029",Available,Government,9896028944
Amrik Nethralaya,"#346, Hrbr 1St Kalyan Nagar,4Th Cross, 7Th B Main.","Few Left, Book Now",Government,9828270822
Amrit Medicare Pvt Ltd,"No.310,Mint Street,Near Sowcarpet, Chennai-600079","Few Left, Book Now",Private,9734999680
Amritdhara Hospital Pvt Ltd,"Chaura Bazar,Near City Police Station",Unknown,Government,9227389448
Amritsar Hospital,100 Ft Road East Mohan Nagar,Unknown,Government,9427854186
Amrut Hospital & Endoscopy Clinic,"Dr. Rajendra Prasad Road, Tilak Nagar, Dombivali(E), Thane, Maharashtra","Few Left, Book Now",Private,9238282371
Amruth Hospital,"#1643, Opp:K.E.B.Office, Vidyarthi Bhavan, Davangere",Unknown,Government,9632414053
Amrutha Heart Hospital,60 Feet Road Satyanarayanapuramsatyanarayanpuram,Unknown,Government,9476755982
Amrutha Hospital,# 1 Near Water Tank Jakkur Main Road Amruthahalli Bangalore 560092,"Few Left, Book Now",Private,9135284291
Amrutha Nursing Home,"3-3-168,Savaran Street,Besides Civil Hospital,Karimnagar",Unknown,Government,9305236004
Amrutha Nursing Home Private Limited,"D.No.10-7-85,Kailash Nagar,Gajuwaka.Gajuwaka",Unknown,Government,9717814687
Amudha Poly Clinic And Hospital,"101,Athani Road,Sathyamangalam,Erode",Unknown,Government,9275088453
Amulya Jyoti Eye Foundation,"#105,Manoharpukur Road,",Unknown,Government,9697120373
Amulya Nursing Home,"Guntur Road, Narasaraopet.",Unknown,Government,9734927551
Anadiyil Hospital,"Thekkummood Junction, Trivandrm.",Unknown,Government,9291279538
Anamay Eye Hospital,Off.C.G.Road Nr President Hotel Opp. Mahalya Builldingnavrangpura,Unknown,Government,9147544291
Anamaya Nursing Home,"Sn48/1B/5-Gokulnagar,Katraj Kondhwa Road,Kondhawa Budruk",Unknown,Government,9328342516
Anand Eye Institute Private Limited,"4Th Floor,Rata Tycoon,Tarnaka",Unknown,Government,9654366757
Anand Health Care Ltd,"21,Community Centre, Preet Viharpreet Vihar",Unknown,Government,9111378817
Anand Hospital,"B-52, New Krishna Park, Dholi Piao, Vikas Puri.",Unknown,Government,9112098932
Anand Hospital,"11/17 Kasturba Gandhi Marg , Up, Allahabad Muir Road",Unknown,Government,9038319530
Anand Hospital,"201, Kamaraj Salai,Manali,Chennaimanali","Few Left, Book Now",Private,9834630437
Anand Hospital,"Nagar Road, Near S.T Stand,Ahemdnagar",Unknown,Government,9589682209
Anand Hospital,"Shrikrishnapalace,Sn 136,Near Malwadi Police Station Warje,Malwadi",Unknown,Government,9679105588
Anand Hospital,"Balaji Tower,Mahatma Phule Chowke,Chakan",Unknown,Government,9537317230
Anand Hospital,"Sector-26,Plot 113, Hutatma Chowk Pradhikaran, Nigdi Pune-411044","Few Left, Book Now",Private,9344567682
Anand Hospital & Eye Centre,"21, Bharat Mata Lane, Jamna Lal Bajaj Marg, C-Scheme, Jaipur-302001",Limited Seats,Municipal,9676075364
Anand Hospital & Navdeep Eye Centre,"No.105,Adarsh Nagar Near Head Post Office,",Unknown,Government,9285709560
Anand Hospital & Research Centre Pvt Ltd,"7, Sindhu Nagar, Bhanwarkua Main Road",Unknown,Government,9998593703
Anand Hospital (Multispeciality),"Mukeriganj, Azamgarh, Uttar Pradesh",Unknown,Government,9771859869
Anand Hospitals,"#97/54,Jg Nagar,2Nd Street,60 Feet Road,",Unknown,Government,9952534482
Anand Maternity & Nursing Home,"Saregram Complex, New Link Rd,Dahison (E), Mumbai-400068.","Few Left, Book Now",Private,9950124061
Anand Medical Centre,"# 171, Sector 56, Near Kendriya Vihar",Unknown,Government,9612841983
Anand Medical Foundation Subudh Hospital,"145,Kothrod Near Shivaji Statue",Unknown,Government,9026663517
Anand Multispeciality Hospital,"Shubh Complex, Shahibuy, Near Rajsthan Hosptial.",Unknown,Government,9713100158
Anand Multispeciality Hospital,"N.H.8,Hirawati",Unknown,Government,9695873234
Anand Nirogdham Hospital Pvt Ltd,"#A,1 Damodar Colony,Garh Road,",Unknown,Government,9136165859
Anand Nursing Home,"Kf-113, New Kavi Nagar.",Unknown,Government,9083132728
Anand Nursing Home,"#1758 B/1, Sakoli Corner, K Ward.",Unknown,Government,9599597718
Anand Nursing Home,"Divya Sarjan, 1St Floor, 90 Ft Road, Ganesh Chowk,Charkop,Kandivali West",Unknown,Government,9277847857
Anand Surgical Hospital Ltd.,"5, Janta Chambers, Nr,Saijpur Towernr. Saijpur Tower",Unknown,Government,9250412939
Anandaloke Hospital & Neurosciences Centre,"2Nd Mile,Sevoke Road,",Unknown,Government,9617517286
Anande Hospital,"Near Old R T O Office,Ramnagar, Chandrapur,Near Old R.T.O. Office.",Unknown,Government,9641290706
Anandlok Hospital,"Dk-713,Salt Lake City, Sector-Ii, Kolkata.",Available,Government,9097683957
Anandpara Surgical & General Hospital,"Iqbal House, Rani Sati Marg Off.Pandit Socicitor Lane, Malad (East)Malad (E), Mumbai - 97","Few Left, Book Now",Private,9036943030
Anandrishiji Hospital & Medical Research Centre,"124, Anand Rishiji Marg",Unknown,Government,9837721356
Anant Nursing Home Pvt Ltd,"Madan Mahal Station Road,Gate #3,Wright Town",Unknown,Government,9510865681
Anant Shree Hospital,"Indrapuri A- Sector, Opp. Bhel Gate # 1,Indrapuri",Unknown,Government,9681472071
Anantha Lakshmi Kidney & Multispeciality Hospital,"H.No.3-9-10/4, Opp To Ramanathapur School, Ramanathapur, Hyderabad-500013","Few Left, Book Now",Private,9768020112
Ananthapuri Hospital & Research Institute,"Tc 31/1424, Nh By Pass Road,Chacka ,Thirvvananthapuram,Kerala",Unknown,Government,9823438677
Ananya Hospital Pvt Ltd,"389/44, 19Th Main,Rajajinagarrajajinagar",Unknown,Government,9701407158
Anasuya Institute Of Medical Sciences,"16/2/142,Hotel Venkataramana Lane,Pogathota",Unknown,Government,9764726811
Anbu Hospital,"No.150/1,Kamarajar Salai,",Unknown,Government,9454119236
Anbu Hospital,"# 4,5, Lakshmivilas Street, Kumbakonam",Unknown,Government,9172281630
Andhra Hospitals,"C.V.R Complex, Prakasamroad, Vijayawada",Unknown,Government,9561895763
Andhra Mahila Sabha,"No.11 & 12, Dr.Durgabaideshmukh Road, R.A.Puram,",Unknown,Government,9438996299
Aneja Hospital & Nursing Home,"# 48, Mahesh Nagar Opp Water Tank",Unknown,Government,9982136128
Aneri Surgical & Neurosurgical Hospital,"1St Floor, Swami Narayan Complex.",Unknown,Government,9672121539
Angel Maternity & Nursing Home,"No.3,Komedan Bagan Lane,Near Jora Girja Corporation ,Garage On Ajc Bose Road,",Unknown,Government,9417062928
Anil Baghi Hospital,"Anil Baghi Road,Ferozepur City",Unknown,Government,9771233882
Anil Eye Hospital,"1St Floor, Krishna Smirti, Phadke Road, Dombivli","Few Left, Book Now",Government,9961199825
Anitha Nursing Home,"No 9-1/3, Sri Ramanagara Colony, Near Uppal Bus Depot, Hyderabad-500098","Few Left, Book Now",Private,9621395975
Anjakha Hospital,"#23,Medavakkam Main Road,Madipakkam",Unknown,Government,9323529606
Anjali Hospital,"Desai Vago,Nadiad",Unknown,Government,9194866518
Anjali Hospital,#568-Dr.Ambedkar Chowk Opp Delux Cinema Pimpri,Unknown,Government,9449397458
Ankith Multispeciality Hospitals,"Opp Bus Stand,Ibrahimpatnam,Sagar Road",Limited Seats,Municipal,9280101545
Ankur Hospital,"1St Floor, Kalpatoru,Mathura Das Road,Kandivli (W)Mathuradas Rd, Kandivli (W)",Unknown,Government,9639358255
Ankur Maternity And Surgical Nursing Home,"Shree Vijay Chs Ltd,Kanjur Marg East",Unknown,Government,9998225804
Ankur Nursing Home,"Mohan Plaza, Main Road, Opposite Section, Ulhasnagar, Thane-421501","Few Left, Book Now",Private,9305383456
Ankur Nursing Home & Pain Clinic,"Ashirwad Complex Chindhwad Main Road, Bus Stop Kalewadi Road,Chinchwad",Unknown,Government,9260971089
Ankura Children'S Hospital ( A Unit Of Ankura Medical & Research Centre Pvt Ltd ),"Near Geethejali School, 7Th Phase, Kphb Kukatpalli, Hyderabad","Few Left, Book Now",Private,9352538156
Anmmol Orthovision,"101-102,Manisha Heights,Balrajeshwar Road,Mulund West",Unknown,Government,9316078850
Annadaneshwara Hospital,"Hahe Road, Sindhanur",Unknown,Government,9620273230
Annai Ent And Head & Neck Care Centre,"#12D,Palaniappa Street,Perundurai Road",Unknown,Government,9092842910
Annai Hospital,"5-82/1, Kurumbanai Road, Karungal, Kanyakumari, Tamilnadu",Unknown,Government,9835596536
Annai Velankanni Nursing Home,"Post Box No.107, Murugan Kurichi, Palayamkottai.",Unknown,Government,9709511632
Annamalai Hospital,"# 27, Govindan Raod, West Mambalam, Near Srinivasa Theatre",Unknown,Government,9532921603
Annammal Hospital,Kuzhithurai,Unknown,Government,9670301952
Annapoorna Hospital,"47-9-32, 3Rd Lane, Dwarakanagar, Visakahpatnam-530016",Limited Seats,Municipal,9201710303
Annapoorna Orthopaedic & Speciality Hospital,"#953, Kantaraj Urs Road, Lakshmipuram, Mysore-570004",Available,Government,9720926885
Annapurna Hospital,"K.M. Road, Chikmagalur",Unknown,Government,9656044197
Annapurna Hospital,"Mina Bazar,Kapadvanj City,",Unknown,Government,9801362827
Annapurna Laparoscopic Surgery And Trauma Care Center,"Plot No-2764/4805, Nageswar Tangi, Old Town, Bhubaneswar, Khurdur, Orissa",Available,Government,9262925166
Annapurna Multi Speciality Hospital,"Sri Krishnadevaraya Marga-Gangavathi, Koppal Dist, Karnataka-583227, Near Bus Stand",Unknown,Government,9557594735
Annapurna Multispeciality Hospital,"10-165, Eluru Road, Gudivada, Krishna-521301, Opp.Bank Of Baroda",Unknown,Government,9873684768
Ano Surge Hospital & Research Centre,"Doctor House,Opp Shantaba Hall,Bus Station Road",Unknown,Government,9076010468
Ansari Hospital,"Rz-20F/B, Street No-6, Sagarpur Main.",Unknown,Government,9069083788
Ansuya General Hospital,"#4,Daxini Society,Maninagar",Unknown,Government,9110292852
Anu Hospital,"#69,Trichy Road,Very Near To Railway Station",Unknown,Government,9141967216
Anu Hospitals,"33-18-1,Chalasani Venkata Krishwaiah Street Near Puspha Hotel, Krishna Suryaraopet",Unknown,Government,9646720473
Anuchandra Accident Hospital,"Geetai Building, Cinema Road,",Unknown,Government,9373104776
Anugraha Hospital,"No 18/2,1St Cross,M.C. Layout,Vijayanagar",Unknown,Government,9591409834
Anugraha Hospital,"# 2698,2Nd Main,2Nd Cross,M.C. B Block",Unknown,Government,9666294223
Anugraha Nursing Home,"No 2,Vinayaka Circle, Palace Guttahalli Main Road, Bangalore-560003Circle Palace Guttahalli Main","Few Left, Book Now",Private,9292236752
Anugrahaa Hospital,"55/3A, Govindana Setty Palya Road Konappana Agrahara Electronic City Infosysbangalore South Taluk","Few Left, Book Now",Private,9349078437
Anuj Hospital,"#2159 & 2161, Sector-16,Faridabad-121002.","Few Left, Book Now",Private,9242778543
Anukrushna Hospitals,"10-191/2, Vasanthapuri Colonymalkajgiri",Unknown,Government,9110623219
Anupam Jyoti Medical Centre,"C-38A, Rajat Vihar, Sector-62.",Unknown,Government,9170522392
Anupama Hospital,"16-31/494 & 495, 6Th Phase, Kphb Colony,Kukatpally, Hyderabad-500072","Few Left, Book Now",Private,9525791176
Anupama Maternity & Nursing Home,"1/18, Jaykar Smruti,Aarey Road, Goregaon West.",Unknown,Government,9070479069
Anupama Surgical & Children Hospital,"47-9-21, Dwarakanagar, Visakha Patnam",Limited Seats,Municipal,9923399178
Anuradha Hospital & Trauma Centre,"D-635 60 Fit Road,Ballabhgarh",Unknown,Government,9663739176
Anuradha Nursing Home,"1St Cross, Raghavendra Extension, Thirthahalli.",Unknown,Government,9152323312
Anurag Nursing Home,"60/181,Heerapath,Mansarower",Unknown,Government,9323369797
Anusha Hospital,"12-2-454,Gudi Malkapur,Mehdipatnam",Limited Seats,Municipal,9320016518
Anvitha Hospital,"8-3-23A/A/516,517,A-Block Sri Keishna Nagar,Yousufguda",Unknown,Government,9419472061
Anwar Memorial Hospital,"Santhosh Lane, Aluva,Ernakulam Dist.",Unknown,Government,9822260283
Aparna Hospital,"450-D,Palaghat Main Road,Kuniamuthu",Unknown,Government,9205662543
Aparna Hospitals Pvt Ltd,"#2-5-680,Subedari,Hanamkonda",Unknown,Government,9416995815
Apex Citi Hospital (A Unit Of Siddhartha Healthcare Pvt Ltd.),"D-440, West Vinod Nagar, Hanuman Road, I.P. Extension, Delhi-110092, Near Punjab National Bank","Few Left, Book Now",Private,9219972277
Apex Hospital,"Scf-43,44,Ph 3B-2",Unknown,Government,9232166565
Apex Hospital,"75-6-23, Prakash Nagar,East Godavari, Rajamundry.",Unknown,Government,9870455959
Apex Hospital,"Opp Ganesh Maidan, Bidar, Karnataka",Unknown,Government,9921029503
Apex Hospital,"#34,Tagore Nagar,Gwalior",Unknown,Government,9029025108
Apex Hospital,"A-Wing, Vaishali Heights, Chandavarkar Road, Borivali (W), Mumbai-400092","Few Left, Book Now",Private,9984845961
Apex Hospital,"Gupte Road, Opp.Shivsena Shakha",Unknown,Government,9820021173
Apex Hospital,"Parnaka, Shivtirth, Apt. Ground Floor, Kalyan, Thane, Maharashtra.","Few Left, Book Now",Private,9469255336
Apex Hospital & Trauma Centre,"Plot No 5, Sector 6, Dharuhera, Rewari, Haryana",Unknown,Government,9002260471
Apex Hospital (P) Ltd,"Sp 4 & 6 , Mia, Malviya Nagar ,Industrial Area, Jaipur",Limited Seats,Municipal,9002146903
Apex Hospital (Steel City Critical Care Pvt Ltd),"16-1-5, Coastal Battery Road, Maharanipeta",Unknown,Government,9346865585
Apex Institute Of Medical Sciences.,"1219, Survey Park, Santoshpur, Kolkata-700075. Hi-Land Park, Big Bazar",Available,Government,9705755374
Apex Kidney Care Pvt Ltd,"101, Eden Rose Shopping Complex,Opp. Cinemax Multiplex,Beverly Park, Mira Road (E),Thane","Few Left, Book Now",Private,9270818523
Apex Kidney Care Pvt Ltd,"''Gaurav Plaza, Annex, R.R.T. Road, Mulund (W), Mumbai","Few Left, Book Now",Private,9162115017
Apex Kidney Care Pvt Ltd,"C/O. Sushrut Hospital, 2Nd Fllor, Swastik Park, Near Kach Gujar Hall, Chembur (E). Mumbai","Few Left, Book Now",Private,9755408065
Apex Kidney Care Pvt Ltd,"Abhishek Commericial Complex, 3Rd Floor S.V. Road, Malad, Near Aditi Hotel, Mumbai, Maharashtra.","Few Left, Book Now",Private,9336791566
Apex Research Centre & Hospital Pvt Ltd,"116-117, Sindhi Colony, Berasia Road,",Unknown,Government,9775642187
Apex Welcare Pvt Ltd ( Apex Hosptial),"Near Dlw & Hydil, Varanasi-221004",Limited Seats,Municipal,9383341097
Apollo B.G.S Hospitals,Adichunchanagiri Roadkuvempunagar Road,Unknown,Government,9482689574
Apollo Emergency & Clinic,16-2-705/5/5Malakpet,Unknown,Government,9465016403
Apollo Emergency & Clinic,"Opp Sai Baba Temple, Bhagyanagar Colony,Kukkatpally Housing Board",Unknown,Government,9483952895
Apollo Emergency & Clinic,"Mehdipatnam, Meeraj Complex, Hyderabad-500028","Few Left, Book Now",Private,9086044914
Apollo Emergency Hospital,"3-5-836 Hyderguda, Hyderabad 500029","Few Left, Book Now",Private,9436045872
Apollo First Med Hospitals,"No 154, Poonamallee High Road, Near Neyveli House, Kilpauk, Chennai - 6000No 154, Poonamallee High Road, Near Neyveli House, Kilpauk, Chennai - 6000","Few Left, Book Now",Private,9065044321
Apollo Gleneagles Hospitals Ltd.,"58, Canal Circular Road,Kolkatta-700054",Unknown,Government,9344477619
Apollo Hospital,"Vikrampuri Colony, Rajivi Gandhi Marg, Kharkhana.",Unknown,Government,9466491148
Apollo Hospital ( T.H.Road-Chennai),"#645, T.H.Road, Tondiarpet",Unknown,Government,9395924734
Apollo Hospital (Kakinada),"13-1-3, Main Road, Kakinada - 533001",Unknown,Government,9662141570
Apollo Hospital International Ltd,"Plot No.1A, Gidc Estate-Bhat, Gandhinagar-382428",Unknown,Government,9024343511
Apollo Hospital- Basheerbagh,"Skylane Theatre Lane, Basheerbagh, Hyderabad-500016Basheerbagh","Few Left, Book Now",Private,9316283773
Apollo Hospitals,"Jubilee Hills, Hyderabad-500033","Few Left, Book Now",Private,9515043573
Apollo Hospitals,#9-1-87/1 Next To Keys High School St. Johns Road,Unknown,Government,9692316636
Apollo Hospitals,"Waltair Main Road, Vishakapatnam-530002",Limited Seats,Municipal,9438829304
Apollo Hospitals,"No.154/11,Opp To Iimb,Bannerghatta Road,",Unknown,Government,9332752199
Apollo Hospitals (Greams Road-Chennai),"#21, Greams Lane,Greams Road, Chennai-600006","Few Left, Book Now",Private,9116403099
Apollo Hospitals Bilaspur,"Seepat Road,Bilaspur(C.G)",Unknown,Government,9469854779
Apollo Hospitals Enterprise Ltd,"Plt # 251,Sainik School Road,",Unknown,Government,9553935003
Apollo Hospitals Enterprise Ltd,"Dmrl Cross Road, Santhosh Nagar,Kanchanbag, Hyderabad -500058","Few Left, Book Now",Private,9142498775
Apollo Hospitals Karaikudi,"Madurai Main Road, Managiri Village Karaikodi, Tamilnadu-630307, Near, Chettinad Public School",Unknown,Government,9795879869
Apollo Koramangala Cradle Limited,"#25. 46Th Cross, 5Th Block, Jayanagar, Bangalore, Karnataka","Few Left, Book Now",Private,9819196718
Apollo Koramangla Cradle Limited,"No.58, 5Th Cross, 18Th Main Koramangla, 6Th Block, Bangalore, Karnataka.","Few Left, Book Now",Private,9255127363
Apollo Nursing Home,"H.No.3-3-111,Sawaran Street,Civil Hospital Road",Unknown,Government,9368759466
Apollo Speciality Hospital (Chennai),"No 320 5Th Floor, Padma Complex, Anna Salai, Near Lr Swami Building, Nandanam, Chennai, Tamil Nadu","Few Left, Book Now",Private,9594051176
Apollo Speciality Hospital (Madurai),"20,Lake View, Kk Nagar,",Unknown,Government,9916208855
Apollo Victor Hospital,"Malbhat, Margao, South Goa, Salcetemargao",Available,Government,9912838810
Apolo Hospital,"#2509/3,Bhushanpura,Inside Suctan Wind Gate",Unknown,Government,9415079081
Apoorva Health Services Pvt Ltd,"50-17-62, Rajendranagar, Visakhapatnam-530016",Limited Seats,Municipal,9984642729
Apoorva Hospital,"46/A, Santoshnagar Colony,Mehdipatnam, Hyderabad-500028","Few Left, Book Now",Private,9303742996
Apoorva Hospital,"3Rd Main Road, 9Th Cross, J.P. Extention.",Unknown,Government,9768434231
Apoorva Multispeiality Hospital,"Shreem 4889/90, Off Dr S P M Road, Near Prakash Theatre, Shastrinagar, Belgum- 590002",Unknown,Government,9373586600
Appasamy Medicare Centre Pvt Ltd,"23-25, Friends Avenue, Arumbakkam, Chennaiarumbakkam","Few Left, Book Now",Private,9039020317
Apple Hospital,"Plot # 266,Vivekanandanagar Colony,Kukatpally",Unknown,Government,9217782372
Apple Hospital,#32 Maruthi Complex M S Nagar Bus Stop Banaswadi Main Road Bangalore,"Few Left, Book Now",Private,9484036822
Appollo Medical Invstgations & Appollo Nursing Home,"# 584, M.G. Road, New Palasiaindore",Available,Government,9618252689
Appusami Hospital,"# 8Z/A, Gandhi Road,Salem-636007.",Available,Government,9240699275
Apulki Vairagade Multispeciality Hospital,"Manewada Cement Road,Plot # 151,Opp To Navdurga Mandir",Unknown,Government,9579740314
Arasan Eye Hospital,"#26, Annamalai Layout,Opp To Road Theatre",Unknown,Government,9645532345
Aravali Hospital,"# 332, Ambamata Schemeudaipur, Rajasthan",Unknown,Government,9257300798
Aravind Eye Hospital (Salem),"64, Sankagiri Main Road, Nethimedu, Salem, Tamilnadu-636002, Opposite To Kaliamman Temple",Available,Government,9118102961
Aravind Eye Hospital - Coimbatore,"Avanashi Road, Coimbatore-641014Teelametu",Available,Government,9970497996
Aravind Eye Hospital - Pondicherry,"Cuddalore Main Road,Abishekapakkam Post,Thavalakuppam, Pondicherry-605007Thavalakuppam",Unknown,Government,9419761588
Aravind Eye Hospital - Theni,"371,Periakulam Road,Allinagaram",Unknown,Government,9966662351
Aravind Eye Hospital - Tirunelveli,# 1. S.N. High Road,Unknown,Government,9833578238
Aravind Eye Hospital Private Limited,"# 12-2-824/A/1, Santosh Nagar Colony, Opp:St.Ann'S Womens College, Mehdipatnam. Hyderabad-500028","Few Left, Book Now",Private,9858961425
Aravind Eye Hospital- Madhurai,"1- Anna Nagar, Madurai-625020Madhurai",Unknown,Government,9495026926
Aravind Eye Hospital-Tirupur,"Dharapuram Main Road, K. Chettipalayam, Tirupur, Tamilnadu",Unknown,Government,9332729406
Aravind Multispeciality Hospital,Opp Police Station Hayata Nagar Opp Police Station,Unknown,Government,9609766794
Aravind Nethralaya Meenakshi Hospital,"16-2-269, Swathantra Park Street,Near Saibaba Temple, Gandhi Nagar,Nellore",Unknown,Government,9732752970
Aravind Sai Eye Hospital,"# 1, Ganesan Street,Pammal Main Road Krishna Nagar",Unknown,Government,9655904511
Aravinda Hospital,"#644,4Th Main, Aravinda Nagar,",Unknown,Government,9649480403
Aravindam Orthopaedic And Physiotherapy Centre,"D.No-6-18-3, Kokkondavari Street, T Nagar.Rajahundry-1",Unknown,Government,9675950328
Archana Hospital,"Airport Circlr, Sanganer",Unknown,Government,9531590072
Archana Hospital,Ram Nagar,Unknown,Government,9182520833
Archana Hospital,"K.R. Road, Ashok Nagar, Mandya-571401Mandya",Unknown,Government,9826479426
Argade Hospital & Maternity Home,"Pune-Nashik Highway,Ambethan Chawk,Chakan Talkhed","Few Left, Book Now",Private,9447863629
Arihant Fracture & Orthopaedic Hospital,"Upnishad, 1St Floor, Near Shreyas Rly Crossing. Ambavadi.",Unknown,Government,9500219470
Arihant Heart & Medical Hospital,"S-15, Shubh Complex,2Nd Floor, Nr.Rajasthan Hospitalrajasthan Hosp. Road,",Unknown,Government,9655448404
Arihant Heart Clinic,"103, Lancelot, Next To Dattani Nagar, S V Road Borivali(West)S.V.Road, Borivili (W),",Unknown,Government,9171548487
Arihant Hospital,"Hno-122,Block-G,Oriental Villa,Sector-57",Unknown,Government,9211070952
Arihant Hospital & Research Centre,"283-A, Gumasta Nagar",Unknown,Government,9540713174
Ark Nursing Home,"29-A, 4Th Cross,Co Operative Colony Near Employment Officeco-Ops Colony",Unknown,Government,9832031140
Arneja Institute Of Cardialogy Pvt Ltd,"123, Ramdaspeth Behind Somalwar School",Unknown,Government,9349252673
Arogyadham,"B-51, Rajendranagar",Unknown,Government,9644217436
Arogyalayam Hospital,"Arogayalayam Junction, By-Pass, Aluva, Ernakulam, Kerala-683101",Unknown,Government,9947516446
Arogyam Superspeciality Hospital,"#34, Sita Nagar Wardha Road Opp Green Wally Lawns",Unknown,Government,9283960670
Arogyaseva Medical Academy Of India,"32/2A,Erandwanabehind Mehendale Garage",Unknown,Government,9565245987
Arokya Hospital,"#32, Pillayar Koil Street",Unknown,Government,9303803810
Arora Hospital,G T Roa Chheharta Amritsar-143005,Available,Government,9060927630
Arora Hospital(P) Ltd,"# 42, Krishnanagar,Bharatpur,",Unknown,Government,9197301362
Arpan General Hospital,"Arpan Shopping Arcade, 1St Floor, C.S.T. Road, Kurla West.",Unknown,Government,9738043944
Arpan Hospital And Research Center,"15/2, Imli Bazar Near Rajnadaindore ( M.P )",Available,Government,9341332040
Arpan Maternity Hospital & Endoscopy Centre,"Uganda Road, Porbandar, Near Railway Station",Unknown,Government,9700518982
Artemis Medicare Services Ltd,"Sector-51,",Unknown,Government,9998460853
Arthroscopy & Spinal Endoscopy Centre,"Sco66, Sector 20C, Chandigarh-160020",Available,Government,9307211541
Arthur Astrvatham Hospital,"No.42-A,Kuruvikaran Salai,",Unknown,Government,9990006849
Arul Hospital,"#6A,T.V.K.Nagar,Puthur",Unknown,Government,9698571849
Arul Mission Hospital,"7A1 & 2,North Main Road,Vallioor",Unknown,Government,9314793289
Arumana Hospital,Perunthanni,Unknown,Government,9214317958
Arun Hospital,"#186,Munichalai Road,",Unknown,Government,9414209489
Arun Hospital (Pollachi),"49/84, New Scheme Roadpollachi Coimbatore",Available,Government,9440814908
Arun Hospital (Theni),"51, Uthamapalayam Road,Bus Stand Bodinayakanur",Unknown,Government,9706854182
Arun Kidney Centre,"#29-23-9,Tadepallivani Street,Suryaraopet",Unknown,Government,9132458088
Aruna Aspatal,"#16, Rajeev Coloni, Meera Market, Chittorgarh, Rajasthan",Unknown,Government,9151686537
Aruna Hospital,"Dr.Radhakrishan Road, Tumkur",Unknown,Government,9491653734
Aruna Shakti Nursing Home,A.N. Guha Lane,Unknown,Government,9175910669
Arunn Surgery,"Dr.Nanjappa Road,",Unknown,Government,9755272002
Arunodaya Deseret Eye Hospital,"# Nh 4, Sector-55, Gurgaon, Haryana","Few Left, Book Now",Private,9809167428
Arunodaya Health Care,"Lichubagan, Po-Garalgacha,P.S-Dankuni.",Unknown,Government,9345823979
Arunodaya Hospitals,"# 18-23,4Th And 5Th Cross Mallasandra Main Road",Unknown,Government,9226689900
Arunpriya Nursing Home,"3&4, Pattamangalam Street,Nagapattinam",Unknown,Government,9710703034
Arushi Medical Centre,"B-1/31, Sector-K, Aliganj, Lucknow - 226024",Limited Seats,Municipal,9036280507
Arvind Hospital Pvt Ltd,"Ashok Rajpath,Opp.Pmch,",Unknown,Government,9390547868
Arvinth Hospital,"# 17, Rangar Sannathi Street,Namakkal- 637001",Unknown,Government,9147894261
Arya Hospital,"C-1/101.Pankha Road,Janak Puri,New Delhi West,","Few Left, Book Now",Private,9924650174
Arya Hospital Pvt Ltd,"Sco-801, Manimajra",Unknown,Government,9834708133
Arya Medical Centre,Dinkar Desai Road.,Unknown,Government,9621053559
Asarfi Hospital Pvt Ltd,"At Baramuri Po,Bishanpur,Dhanbad",Unknown,Government,9592868098
Asg Eye Hospital Ltd-Jaipur,"D-247, Bihari Marg, Bani Park, Opp. K.P. Auto, Jaipur, Rajasthan",Limited Seats,Municipal,9980889884
Asg Eye Hospital Ltd-Jodhpur,"A-322, Shastri Nagar, Jodhpur, Rajasthan",Unknown,Government,9850694165
Asha Hospital,"H.No.19-66/11,Prashanagar Phase Ii,Behind Spencers, Hitention Road,Kapra",Unknown,Government,9419626272
Asha Hospital,"# 1, Akurli Cross Road, Kandivli East,Premaskram Manidr Lane,",Unknown,Government,9482009345
Asha Hospital,"#7,Near Lekhanagar,Cantonment,Kamptee",Unknown,Government,9155239021
Asha Hospital& Iccu,"Plot # 134,Sect 4, Aniatic Society, Airoli,Navi Mumbai-400708","Few Left, Book Now",Private,9922020490
Asha Maternity & Childrens Hospital,"Ganesh Raod, Chalishoon Dist,",Unknown,Government,9284168404
Asha Maternity & General Hospital,"Pooja Building, Pushpa Park, Daftary Road, Malad East.",Unknown,Government,9269021037
Asha Orthopaedic Hospital,"Bashi Kalingar,#2,Geetha Bhavan Lane Off,Navghar Road,Bhayander East,Thane","Few Left, Book Now",Private,9134541818
